class,random,temporal_stratified,chronological_blind,random_in_train,temporal_stratified_in_train,chronological_blind_in_train
Benign,0.7456816204796819,0.7342798558468995,0.9988954344624448,True,True,True
Bot,0.9991111550046912,0.9985432458457816,0.0,True,True,False
Brute Force -Web,0.7017543859649122,0.868421052631579,0.0,True,True,False
Brute Force -XSS,0.6739130434782609,0.7065217391304348,0.0,True,True,False
DDOS attack-HOIC,0.9993932499051953,0.9891547533275189,0.0,True,True,False
DDOS attack-LOIC-UDP,0.9710982658959537,0.8106936416184971,0.0,True,True,False
DDoS attacks-LOIC-HTTP,0.9990493820983639,0.9996872967428829,,True,True,True
DoS attacks-GoldenEye,0.9997584832749667,0.9996377467850027,,True,True,True
DoS attacks-Hulk,1.0,0.9999683514257682,,True,True,True
DoS attacks-SlowHTTPTest,0.5238095238095238,0.2558139534883721,,True,True,True
DoS attacks-Slowloris,0.9939455095862765,0.8390514631685166,,True,True,True
FTP-BruteForce,0.0,0.09090909090909091,,True,True,True
Infilteration,0.7704721314188769,0.705658425571532,0.0,True,True,False
SQL Injection,0.7647058823529411,0.5,0.0,True,True,False
SSH-Bruteforce,0.9997873471557682,0.9996278575225943,,True,True,True
