feature,psi,psi_band,ks
fwd_iat_min,6.349659275640675,significant,0.7468101322573871
flow_iat_min,4.881829270784642,significant,0.7237719965464886
bwd_header_len,4.4748690307590016,significant,0.6721529715301331
bwd_iat_min,4.231337466113392,significant,0.5429286970291249
pkt_len_mean,4.229253538273131,significant,0.7630160331514408
bwd_pkt_len_max,4.023181395564647,significant,0.6585793660118264
flow_iat_mean,3.8865152851549754,significant,0.758424734291832
subflow_bwd_pkts,3.8106159743941106,significant,0.6721871442391459
bwd_pkt_len_std,3.802884644658815,significant,0.5646085331313859
bwd_pkts/s,3.6538245919261847,significant,0.672162028679029
bwd_seg_size_mean,3.5773060048207026,significant,0.6585793660118264
bwd_pkt_len_mean,3.5773060048207026,significant,0.6585793660118264
fwd_pkts/s,3.575595719074963,significant,0.7208129318635481
flow_pkts/s,3.533333961908206,significant,0.7504461221219654
bwd_iat_mean,3.459526283393573,significant,0.5917459880757582
bwd_iat_max,3.435953677280347,significant,0.5917393155277171
flow_iat_max,3.3570074301191797,significant,0.7276217199578232
fwd_iat_mean,3.3374571546961955,significant,0.6900366322179196
pkt_len_std,3.3241634127290256,significant,0.5950864040010024
flow_duration,3.004146528132935,significant,0.6984146439903434
bwd_iat_std,2.9914110300632393,significant,0.5612019371722978
fwd_iat_max,2.777030478432265,significant,0.6588163560435879
fwd_pkt_len_mean,2.626529993562702,significant,0.786610766816607
fwd_seg_size_mean,2.626529993562702,significant,0.786610766816607
fwd_pkt_len_min,2.5078465307686084,significant,0.7915689565604072
fwd_pkt_len_std,2.4079627716406975,significant,0.4582277999009996
flow_bytes/s,2.105469188773217,significant,0.6360381687237471
down/up_ratio,1.738639860451291,significant,0.5018197301105575
flow_iat_std,1.6426701052564998,significant,0.4470352244528992
fwd_iat_std,1.464693748540618,significant,0.4199272408903874
fwd_pkt_len_max,1.2598382812482596,significant,0.47453300450995645
fwd_header_len,1.1435024574304686,significant,0.46911921584654315
subflow_fwd_pkts,1.0615608413346478,significant,0.37287004333763335
idle_min,0.28440189612688443,significant,0.1669136108973729
fwd_act_data_pkts,0.27897168949992207,significant,0.18754454888449892
idle_mean,0.25534454426922154,significant,0.1669136108973729
bwd_pkt_len_min,0.2269929877774025,moderate,0.09507325611711293
idle_max,0.17588799034755798,moderate,0.1669136108973729
active_mean,0.0,small,0.07052799645172347
active_min,0.0,small,0.07130381408160802
active_std,0.0,small,0.03688248645262804
active_max,0.0,small,0.07051561582183763
cwe_flag_count,0.0,small,0.004512438750167713
fwd_psh_flags,0.0,small,0.01954486744000694
idle_std,0.0,small,0.02556478377956861
