source,target,kappa,identity_rel_err,reversed_share,realised_corr,lin_mcc,lin_ceiling,lin_orient,n_dropped
nf2018v2,nfunswv2,389.382599,0.0,0.0108,0.015695,-0.073903,0.360295,-1,1
nf2018v2,nftonv2,-27.77796,0.0,0.932137,-0.147489,0.099174,0.186411,-1,1
nf2018v2,nfbotv2,-1.559302,0.0,0.763543,-0.215707,-0.319391,0.475372,-1,1
nfunswv2,nf2018v2,14.170484,0.0,0.241975,0.12257,0.21705,0.272376,1,0
nfunswv2,nftonv2,917084009.691204,0.0,0.016146,0.001374,-0.005435,0.154933,1,0
nfunswv2,nfbotv2,3457976.390179,0.0,1.6e-05,0.034455,-0.671447,0.679422,-1,0
nftonv2,nf2018v2,0.428323,0.0,0.45179,0.046266,0.198872,0.465119,1,0
nftonv2,nfunswv2,-4.65037,0.0,0.668208,-0.0124,-0.103885,0.220946,-1,0
nftonv2,nfbotv2,-0.636766,0.0,0.755187,-0.148996,-0.196984,0.649855,-1,0
nfbotv2,nf2018v2,1.11594,0.0,0.479284,0.001707,-0.001211,0.36268,-1,0
nfbotv2,nfunswv2,-502.847837,0.0,0.881753,-0.027569,0.009342,0.125873,-1,0
nfbotv2,nftonv2,-74.712444,0.0,0.885126,-0.001416,0.173847,0.211684,1,0
