source,target,kappa,identity_rel_err,reversed_share,realised_corr,lin_mcc,lin_ceiling,lin_orient,n_dropped,inverted,ceiling,n_flipped,agreement
nf2018v2,nfunswv2,389.3826,0.0,0.0108,0.0157,-0.0739,0.3603,-1,1,0.7778,0.2022,8,0.4595
nf2018v2,nftonv2,-27.778,0.0,0.9321,-0.1475,0.0992,0.1864,-1,1,0.3333,0.3236,4,0.7572
nf2018v2,nfbotv2,-1.5593,0.0,0.7635,-0.2157,-0.3194,0.4754,-1,1,0.2222,0.2638,9,0.4275
nfunswv2,nf2018v2,14.1705,0.0,0.242,0.1226,0.217,0.2724,1,0,0.8889,0.3382,8,0.6739
nfunswv2,nftonv2,917084009.6912,0.0,0.0161,0.0014,-0.0054,0.1549,1,0,0.5556,0.2779,7,0.6545
nfunswv2,nfbotv2,3457976.3902,0.0,0.0,0.0345,-0.6714,0.6794,-1,0,0.0,0.3208,0,0.9645
nftonv2,nf2018v2,0.4283,0.0,0.4518,0.0463,0.1989,0.4651,1,0,0.4444,0.3306,4,0.831
nftonv2,nfunswv2,-4.6504,0.0,0.6682,-0.0124,-0.1039,0.2209,-1,0,0.6667,0.1526,7,0.2736
nftonv2,nfbotv2,-0.6368,0.0,0.7552,-0.149,-0.197,0.6499,-1,0,0.2222,0.1952,8,0.3342
nfbotv2,nf2018v2,1.1159,0.0,0.4793,0.0017,-0.0012,0.3627,-1,0,0.0,0.4458,9,0.3625
nfbotv2,nfunswv2,-502.8478,0.0,0.8818,-0.0276,0.0093,0.1259,-1,0,0.6667,0.1058,0,0.7565
nfbotv2,nftonv2,-74.7124,0.0,0.8851,-0.0014,0.1738,0.2117,1,0,0.7778,0.3179,8,0.2638
