source,target,model,budget,strategy,mcc_mean,mcc_std,mcc_best_thr_mean,mcc_best_thr_std,macro_f1_mean,macro_f1_std,auprc_macro_mean,auprc_macro_std,fp_rate_mean,fp_rate_std,ece_mean,ece_std,n_train_mean,n_train_std
nf2018v2,nfbotv2,lgbm,0.0,zero_shot,0.0015,0.0083,0.3069,0.0494,0.1203,0.0515,0.5517,0.0175,0.1319,0.0954,0.6329,0.0573,249999.0,0.0
nf2018v2,nfbotv2,lgbm,0.0001,augment,0.515,,0.4623,,0.7434,,0.6434,,0.2765,,0.0039,,250210.0,
nf2018v2,nfbotv2,lgbm,0.0001,buffer_only,0.4687,0.0599,0.4723,0.0547,0.7164,0.033,0.6955,0.0952,0.5288,0.2122,0.0048,0.0016,211.0,0.0
nf2018v2,nfbotv2,lgbm,0.0001,calibrate,0.0,0.0,0.3069,0.0494,0.4989,0.0,0.5517,0.0175,1.0,0.0,0.0006,0.0,211.0,0.0
nf2018v2,nfbotv2,lgbm,0.0001,rethreshold,0.261,0.0128,0.3069,0.0494,0.6049,0.0244,0.5517,0.0175,0.4831,0.2315,0.6329,0.0573,211.0,0.0
nf2018v2,nfbotv2,lgbm,0.001,augment,0.8081,,0.7544,,0.904,,0.8616,,0.1979,,0.001,,252100.0,
nf2018v2,nfbotv2,lgbm,0.001,buffer_only,0.7945,0.0185,0.6746,0.0179,0.8917,0.0098,0.8821,0.0015,0.3266,0.023,0.0015,0.0,2101.0,0.0
nf2018v2,nfbotv2,lgbm,0.001,calibrate,0.0,0.0,0.3069,0.0494,0.4989,0.0,0.5517,0.0175,1.0,0.0,0.0001,0.0,2101.0,0.0
nf2018v2,nfbotv2,lgbm,0.001,rethreshold,0.2959,0.05,0.3069,0.0494,0.616,0.0115,0.5517,0.0175,0.3933,0.1652,0.6329,0.0573,2101.0,0.0
nf2018v2,nfbotv2,lgbm,0.01,augment,0.8583,,0.7804,,0.9291,,0.9257,,0.1514,,0.0007,,270999.0,
nf2018v2,nfbotv2,lgbm,0.01,buffer_only,0.5579,0.2793,0.545,0.2709,0.7785,0.1396,0.7104,0.2207,0.441,0.2402,0.0039,0.0026,21000.0,0.0
nf2018v2,nfbotv2,lgbm,0.01,calibrate,0.0,0.0,0.3069,0.0494,0.4989,0.0,0.5517,0.0175,1.0,0.0,0.0,0.0,21000.0,0.0
nf2018v2,nfbotv2,lgbm,0.01,rethreshold,0.3005,0.0468,0.3069,0.0494,0.6167,0.0104,0.5517,0.0175,0.375,0.1575,0.6329,0.0573,21000.0,0.0
nf2018v2,nfbotv2,lgbm,0.05,buffer_only,0.3991,0.3034,0.3949,0.2994,0.6965,0.1496,0.6113,0.117,0.6623,0.2554,0.0044,0.0023,105000.0,0.0
nf2018v2,nfbotv2,lgbm,0.05,calibrate,0.0,0.0,0.3069,0.0494,0.4989,0.0,0.5517,0.0175,1.0,0.0,0.0013,0.0022,105000.0,0.0
nf2018v2,nfbotv2,lgbm,0.05,rethreshold,0.305,0.0519,0.3069,0.0494,0.618,0.012,0.5517,0.0175,0.3623,0.1713,0.6329,0.0573,105000.0,0.0
nf2018v2,nfbotv2,lgbm,0.1,buffer_only,0.1994,0.347,0.199,0.3461,0.5997,0.1736,0.5606,0.105,0.7982,0.3455,0.0057,0.0025,210001.0,0.0
nf2018v2,nfbotv2,lgbm,0.1,calibrate,0.0,0.0,0.3069,0.0494,0.4989,0.0,0.5517,0.0175,1.0,0.0,0.0014,0.0023,210001.0,0.0
nf2018v2,nfbotv2,lgbm,0.1,rethreshold,0.3013,0.0505,0.3069,0.0494,0.6288,0.0245,0.5517,0.0175,0.5042,0.2536,0.6329,0.0573,210001.0,0.0
nf2018v2,nfbotv2,mlp,0.0,zero_shot,-0.0179,0.0304,0.2291,0.0367,0.2186,0.0641,0.5276,0.0056,0.389,0.1265,0.6307,0.0925,249999.0,0.0
nf2018v2,nfbotv2,mlp,0.0001,augment,0.1405,,0.2721,,0.5448,,0.5905,,0.6317,,0.0095,,250210.0,
nf2018v2,nfbotv2,mlp,0.0001,buffer_only,0.22,0.2088,0.3749,0.1442,0.5667,0.0991,0.6597,0.1046,0.9178,0.1239,0.0031,0.0006,211.0,0.0
nf2018v2,nfbotv2,mlp,0.0001,calibrate,0.0,0.0,0.3161,0.0908,0.4989,0.0,0.5832,0.0592,1.0,0.0,0.0006,0.0,211.0,0.0
nf2018v2,nfbotv2,mlp,0.0001,rethreshold,-0.0047,0.0081,0.2291,0.0367,0.1056,0.1757,0.5276,0.0056,0.1828,0.3165,0.6307,0.0925,211.0,0.0
nf2018v2,nfbotv2,mlp,0.001,augment,0.3232,,0.3337,,0.6512,,0.6372,,0.5304,,0.0026,,252100.0,
nf2018v2,nfbotv2,mlp,0.001,buffer_only,0.6671,0.0182,0.5412,0.023,0.8154,0.0117,0.7981,0.0136,0.5221,0.0275,0.0012,0.0003,2101.0,0.0
nf2018v2,nfbotv2,mlp,0.001,calibrate,0.0,0.0,0.3161,0.0908,0.4989,0.0,0.5832,0.0592,1.0,0.0,0.0001,0.0,2101.0,0.0
nf2018v2,nfbotv2,mlp,0.001,rethreshold,-0.0546,0.2134,0.2291,0.0367,0.2483,0.277,0.5276,0.0056,0.4303,0.4441,0.6307,0.0925,2101.0,0.0
nf2018v2,nfbotv2,mlp,0.01,augment,0.6039,,0.6027,,0.7938,,0.8062,,0.5209,,0.0015,,270999.0,
nf2018v2,nfbotv2,mlp,0.01,buffer_only,0.7318,0.0289,0.611,0.0634,0.8571,0.0189,0.8469,0.04,0.4084,0.0576,0.0051,0.0037,21000.0,0.0
nf2018v2,nfbotv2,mlp,0.01,calibrate,0.0,0.0,0.2836,0.1414,0.4989,0.0,0.5776,0.0674,1.0,0.0,0.0,0.0,21000.0,0.0
nf2018v2,nfbotv2,mlp,0.01,rethreshold,0.2181,0.0382,0.2291,0.0367,0.557,0.0133,0.5276,0.0056,0.9372,0.015,0.6307,0.0925,21000.0,0.0
nf2018v2,nfbotv2,mlp,0.05,buffer_only,0.7996,0.0235,0.7182,0.0827,0.8958,0.0144,0.9131,0.031,0.3008,0.0531,0.0013,0.0001,105000.0,0.0
nf2018v2,nfbotv2,mlp,0.05,calibrate,0.0,0.0,0.2836,0.1414,0.4989,0.0,0.5776,0.0674,1.0,0.0,0.0001,0.0001,105000.0,0.0
nf2018v2,nfbotv2,mlp,0.05,rethreshold,0.2224,0.0402,0.2291,0.0367,0.5571,0.0134,0.5276,0.0056,0.9372,0.015,0.6307,0.0925,105000.0,0.0
nf2018v2,nfbotv2,mlp,0.1,buffer_only,0.9293,0.0029,0.8176,0.0061,0.9645,0.0016,0.97,0.0076,0.0564,0.0138,0.0006,0.0001,210001.0,0.0
nf2018v2,nfbotv2,mlp,0.1,calibrate,0.0,0.0,0.2836,0.1414,0.4989,0.0,0.5776,0.0674,1.0,0.0,0.0,0.0,210001.0,0.0
nf2018v2,nfbotv2,mlp,0.1,rethreshold,0.2277,0.0379,0.2291,0.0367,0.5573,0.0133,0.5276,0.0056,0.9372,0.015,0.6307,0.0925,210001.0,0.0
nf2018v2,nfbotv2,rf,0.0,zero_shot,0.0095,0.008,0.1684,0.0326,0.0498,0.0005,0.5139,0.0044,0.0163,0.0261,0.7451,0.0075,249999.0,0.0
nf2018v2,nfbotv2,rf,0.0001,augment,0.5903,,0.5832,,0.7621,,0.6511,,0.0322,,0.0087,,250210.0,
