seed,target,model,budget,rule,n_labels,n_fit,n_cal,n_benign_cal,n_benign_select,n_benign_certify,fp_certify,thr_split,bound_split,fpr_split,tpr_split,mcc_split,thr_empirical,fp_obs_empirical,bound_naive,fpr_empirical,tpr_empirical,fit_s
42,nf2018v2,rf,0.0001,diversity,210,146,64,56,27,29,0.0,0.343333,0.098145,0.00667,0.928038,0.930423,0.553333,0.0,0.05209,0.002688,0.917986,0.6
42,nf2018v2,rf,0.0001,uniform,210,147,63,55,27,28,0.0,0.32,0.101466,0.007747,0.917564,0.919761,0.763333,0.0,0.053011,9.6e-05,0.808565,0.7
42,nf2018v2,rf,0.0001,stratified,217,151,66,56,30,26,0.0,0.65,0.10883,0.000164,0.871278,0.924709,0.676667,0.0,0.05209,0.00013,0.861818,0.7
42,nf2018v2,rf,0.001,diversity,2100,1470,630,565,279,286,0.0,0.79,0.01042,9.1e-05,0.925968,0.957124,0.463333,2.0,0.011101,0.001083,0.952109,0.9
42,nf2018v2,rf,0.001,uniform,2100,1470,630,550,272,278,3.0,0.376667,0.027653,0.003494,0.949407,0.95618,0.443333,3.0,0.014037,0.00241,0.945057,0.9
42,nf2018v2,rf,0.001,stratified,2102,1472,630,555,273,282,1.0,0.553333,0.016711,0.000964,0.936188,0.959246,0.26,4.0,0.016416,0.005955,0.95118,0.8
42,nf2018v2,rf,0.01,uniform,21000,14700,6300,5548,2761,2787,0.0,0.646667,0.001074,0.000113,0.950927,0.971465,0.23,26.0,0.006497,0.004435,0.95798,1.6
42,nf2018v2,rf,0.01,stratified,21001,14701,6300,5554,2784,2770,0.0,0.46,0.001081,0.00059,0.954601,0.971523,0.29,12.0,0.003498,0.00232,0.956544,1.6
42,nf2018v2,lgbm,0.0001,diversity,210,146,64,56,27,29,1.0,0.00172,0.153392,0.025124,0.940749,0.869671,0.997241,0.0,0.05209,0.000306,0.873052,0.7
42,nf2018v2,lgbm,0.0001,uniform,210,147,63,55,27,28,2.0,9.5e-05,0.208205,0.031715,0.914946,0.831704,0.999854,0.0,0.053011,0.000216,0.684615,0.0
42,nf2018v2,lgbm,0.0001,stratified,217,151,66,56,30,26,0.0,0.998053,0.10883,0.000284,0.907893,0.945733,0.99961,0.0,0.05209,9.6e-05,0.890747,0.0
42,nf2018v2,lgbm,0.001,diversity,2100,1470,630,565,279,286,0.0,0.999995,0.01042,7.9e-05,0.719456,0.832265,0.999525,1.0,0.008368,0.000102,0.944719,0.2
42,nf2018v2,lgbm,0.001,uniform,2100,1470,630,550,272,278,3.0,0.011858,0.027653,0.006511,0.950716,0.944533,0.025836,3.0,0.014037,0.005127,0.950251,0.2
42,nf2018v2,lgbm,0.001,stratified,2102,1472,630,555,273,282,2.0,0.979432,0.022156,0.001231,0.932387,0.955879,0.030391,3.0,0.013911,0.004526,0.939947,0.2
42,nf2018v2,lgbm,0.01,uniform,21000,14700,6300,5548,2761,2787,1.0,0.896776,0.001701,0.000159,0.953461,0.972728,0.025494,17.0,0.004593,0.002819,0.957684,0.6
42,nf2018v2,lgbm,0.01,stratified,21001,14701,6300,5554,2784,2770,0.0,0.631549,0.001081,0.000284,0.95515,0.973161,0.069729,8.0,0.002597,0.001475,0.957219,0.7
42,nf2018v2,mlp,0.0001,diversity,210,146,64,56,27,29,0.0,0.33472,0.098145,0.004758,0.914904,0.930526,0.94641,0.0,0.05209,0.001384,0.871067,0.4
42,nf2018v2,mlp,0.0001,uniform,210,147,63,55,27,28,0.0,0.10035,0.101466,0.016356,0.890958,0.869823,0.93446,0.0,0.053011,0.001514,0.862536,0.2
42,nf2018v2,mlp,0.0001,stratified,217,151,66,56,30,26,0.0,0.999802,0.10883,0.00034,0.089658,0.277722,0.999934,0.0,0.05209,0.000244,0.039444,0.2
42,nf2018v2,mlp,0.001,diversity,2100,1470,630,565,279,286,2.0,0.361576,0.021849,0.007288,0.9315,0.929972,0.599108,2.0,0.011101,0.001129,0.887073,0.9
42,nf2018v2,mlp,0.001,uniform,2100,1470,630,550,272,278,2.0,0.131589,0.022472,0.008819,0.941003,0.929505,0.849543,0.0,0.005432,0.0019,0.913552,2.0
42,nf2018v2,mlp,0.001,stratified,2102,1472,630,555,273,282,2.0,0.079045,0.022156,0.003443,0.930698,0.945421,0.944209,1.0,0.008519,0.000147,0.909033,1.8
42,nf2018v2,mlp,0.01,uniform,21000,14700,6300,5548,2761,2787,0.0,0.961885,0.001074,0.000136,0.765911,0.861057,0.183472,29.0,0.00712,0.005184,0.946619,2.0
42,nf2018v2,mlp,0.01,stratified,21001,14701,6300,5554,2784,2770,1.0,0.900423,0.001711,0.000278,0.897335,0.939569,0.17052,25.0,0.006281,0.005428,0.947211,6.3
42,nfunswv2,rf,0.0001,diversity,139,97,42,39,19,20,0.0,0.716667,0.139108,0.002842,0.389786,0.563264,0.78,0.0,0.073938,0.000686,0.174385,0.6
42,nfunswv2,rf,0.0001,uniform,139,97,42,41,21,20,0.0,0.57,0.139108,0.001637,0.280497,0.484882,0.773333,0.0,0.070461,4.2e-05,0.027653,0.6
42,nfunswv2,rf,0.0001,stratified,144,101,43,40,21,19,0.0,0.036667,0.145869,0.017818,0.999868,0.821902,0.533333,0.0,0.072158,0.009842,0.916777,0.6
42,nfunswv2,rf,0.001,diversity,1391,973,418,386,190,196,0.0,0.926667,0.015168,0.000255,0.275734,0.5114,0.833333,2.0,0.01622,0.001294,0.63059,0.8
42,nfunswv2,rf,0.001,uniform,1391,974,417,401,197,204,3.0,0.183333,0.037567,0.009935,0.995501,0.88639,0.356667,1.0,0.011775,0.006241,0.945488,0.8
42,nfunswv2,rf,0.001,stratified,1392,975,417,401,201,200,1.0,0.49,0.023498,0.008299,0.975258,0.890965,0.493333,1.0,0.011775,0.008241,0.974729,0.8
42,nfunswv2,rf,0.01,uniform,13907,9734,4173,4010,2007,2003,3.0,0.976667,0.003866,0.000494,0.429743,0.63847,0.09,25.0,0.008696,0.006194,0.999074,1.0
42,nfunswv2,rf,0.01,stratified,13907,9734,4173,4015,2001,2014,3.0,0.913333,0.003845,0.000722,0.626092,0.773606,0.24,19.0,0.006936,0.005212,0.991268,0.9
42,nfunswv2,lgbm,0.0001,diversity,139,97,42,39,19,20,0.0,0.999937,0.139108,0.000364,0.02064,0.115087,0.999937,0.0,0.073938,0.000364,0.02064,0.0
42,nfunswv2,lgbm,0.0001,uniform,139,97,42,41,21,20,0.0,0.994877,0.139108,0.000447,0.205875,0.434111,0.999463,0.0,0.070461,9.9e-05,0.053056,0.0
42,nfunswv2,lgbm,0.0001,stratified,144,101,43,40,21,19,3.0,6.8e-05,0.359426,0.117802,0.889786,0.415747,0.992491,0.0,0.072158,0.006438,0.448134,0.0
42,nfunswv2,lgbm,0.001,diversity,1391,973,418,386,190,196,0.0,0.999989,0.015168,0.000473,0.181265,0.404841,0.997866,3.0,0.019964,0.002156,0.709844,0.2
