seed,source,target,model,budget,strategy,n_train,n_threshold,n_labels,mcc,macro_f1,fp_rate,auprc_macro,thr,tpr_dep,fpr_dep,tpr_oracle_fpr01,tpr_oracle_fpr001,fit_s
42,any,nf2018v2,rf,0.0001,retrain_stratified,151,66,217,0.94772,0.97341,0.00111,0.97404,0.67667,0.86182,0.00013,0.94003,0.91748,0.5
42,any,nf2018v2,rf,0.0001,retrain_labelblind,147,63,210,0.93201,0.96535,0.00189,0.97293,0.76333,0.80856,0.0001,0.9285,0.89598,0.5
42,any,nf2018v2,rf,0.001,retrain_stratified,1472,630,2102,0.95792,0.97874,0.00141,0.98074,0.26,0.95118,0.00596,0.95355,0.93686,0.7
42,any,nf2018v2,rf,0.001,retrain_labelblind,1470,630,2100,0.95968,0.97969,0.0018,0.98065,0.44333,0.94506,0.00241,0.95232,0.94273,0.6
42,any,nf2018v2,rf,0.01,retrain_stratified,14701,6300,21001,0.97209,0.9859,0.00043,0.98338,0.29,0.95654,0.00232,0.95942,0.95561,3.8
42,any,nf2018v2,rf,0.01,retrain_labelblind,14700,6300,21000,0.97158,0.98563,0.00042,0.98333,0.23,0.95798,0.00444,0.95929,0.95528,4.0
42,any,nf2018v2,lgbm,0.0001,retrain_stratified,151,66,217,0.95888,0.97914,0.00071,0.97474,0.99961,0.89075,0.0001,0.94134,0.93408,0.1
42,any,nf2018v2,lgbm,0.0001,retrain_labelblind,147,63,210,0.88226,0.9411,0.01552,0.96712,0.99985,0.68462,0.00022,0.90177,0.84662,0.0
42,any,nf2018v2,lgbm,0.001,retrain_stratified,1472,630,2102,0.95152,0.97562,0.00289,0.98106,0.03039,0.93995,0.00453,0.95042,0.92977,0.2
42,any,nf2018v2,lgbm,0.001,retrain_labelblind,1470,630,2100,0.95792,0.97889,0.00295,0.97982,0.02584,0.95025,0.00513,0.95135,0.93294,0.6
42,any,nf2018v2,lgbm,0.01,retrain_stratified,14701,6300,21001,0.97316,0.98644,0.00033,0.98502,0.06973,0.95722,0.00147,0.95899,0.95697,0.7
42,any,nf2018v2,lgbm,0.01,retrain_labelblind,14700,6300,21000,0.97296,0.98634,0.00039,0.98531,0.02549,0.95768,0.00282,0.96043,0.95646,0.7
42,any,nf2018v2,mlp,0.0001,retrain_stratified,151,66,217,0.9202,0.95978,0.00502,0.95619,0.99993,0.03944,0.00024,0.90325,0.71215,0.2
42,any,nf2018v2,mlp,0.0001,retrain_labelblind,147,63,210,0.91208,0.9556,0.00521,0.94684,0.93446,0.86254,0.00151,0.88978,0.77385,0.2
42,any,nf2018v2,mlp,0.001,retrain_stratified,1472,630,2102,0.95325,0.97624,0.00086,0.97209,0.94421,0.90903,0.00015,0.93374,0.92555,1.2
42,any,nf2018v2,mlp,0.001,retrain_labelblind,1470,630,2100,0.94163,0.97076,0.00503,0.97257,0.84954,0.91355,0.0019,0.94142,0.89615,1.4
42,any,nf2018v2,mlp,0.01,retrain_stratified,14701,6300,21001,0.95814,0.97883,0.00124,0.98056,0.17052,0.94721,0.00543,0.95055,0.92901,2.0
42,any,nf2018v2,mlp,0.01,retrain_labelblind,14700,6300,21000,0.94282,0.97098,0.00181,0.98001,0.18347,0.94662,0.00518,0.94911,0.90874,1.9
42,any,nfunswv2,rf,0.0001,retrain_stratified,101,43,144,0.86223,0.9289,0.01011,0.87895,0.53333,0.91678,0.00984,0.91678,0.05531,0.5
42,any,nfunswv2,rf,0.0001,retrain_labelblind,97,42,139,0.5398,0.75046,0.00376,0.91517,0.77333,0.02765,4e-05,0.93953,0.23617,0.5
42,any,nfunswv2,rf,0.001,retrain_stratified,975,417,1392,0.89192,0.9443,0.00809,0.95903,0.49333,0.97473,0.00824,0.99286,0.39799,0.6
42,any,nfunswv2,rf,0.001,retrain_labelblind,974,417,1391,0.88903,0.94447,0.00478,0.96568,0.35667,0.94549,0.00624,0.9955,0.4009,0.5
42,any,nfunswv2,rf,0.01,retrain_stratified,9734,4173,13907,0.93589,0.96773,0.00369,0.98657,0.24,0.99127,0.00521,1.0,0.70349,1.1
42,any,nfunswv2,rf,0.01,retrain_labelblind,9734,4173,13907,0.93507,0.96729,0.00381,0.98275,0.09,0.99907,0.00619,1.0,0.63469,1.6
42,any,nfunswv2,lgbm,0.0001,retrain_stratified,101,43,144,0.67533,0.83667,0.00887,0.79929,0.99249,0.44813,0.00644,0.74266,0.01204,0.3
42,any,nfunswv2,lgbm,0.0001,retrain_labelblind,97,42,139,0.58918,0.77508,0.00277,0.82748,0.99946,0.05306,0.0001,0.60294,0.26621,0.1
42,any,nfunswv2,lgbm,0.001,retrain_stratified,975,417,1392,0.83992,0.91993,0.00557,0.93043,0.08512,0.90831,0.00735,0.97195,0.1593,0.7
42,any,nfunswv2,lgbm,0.001,retrain_labelblind,974,417,1391,0.86306,0.93145,0.00437,0.9524,6e-05,0.97777,0.00822,0.99841,0.30061,0.4
42,any,nfunswv2,lgbm,0.01,retrain_stratified,9734,4173,13907,0.93642,0.96809,0.00334,0.9854,0.00243,0.99259,0.00487,0.99974,0.70336,2.4
42,any,nfunswv2,lgbm,0.01,retrain_labelblind,9734,4173,13907,0.93104,0.96541,0.00351,0.97745,5e-05,0.99616,0.00584,0.9996,0.58494,0.5
42,any,nfunswv2,mlp,0.0001,retrain_stratified,101,43,144,0.67581,0.83619,0.00791,0.81199,0.99853,0.29108,0.0023,0.81807,0.01416,0.1
42,any,nfunswv2,mlp,0.0001,retrain_labelblind,97,42,139,0.63246,0.80722,0.00473,0.75723,0.98447,0.02117,3e-05,0.56682,0.18404,0.1
42,any,nfunswv2,mlp,0.001,retrain_stratified,975,417,1392,0.78422,0.89175,0.00631,0.90358,0.56603,0.72837,0.00556,0.91929,0.13152,0.4
42,any,nfunswv2,mlp,0.001,retrain_labelblind,974,417,1391,0.80988,0.90466,0.00562,0.86945,0.36894,0.80061,0.00585,0.88859,0.09381,1.0
42,any,nfunswv2,mlp,0.01,retrain_stratified,9734,4173,13907,0.68055,0.8349,0.00506,0.85022,0.12735,0.69675,0.0093,0.69767,0.26039,0.5
42,any,nfunswv2,mlp,0.01,retrain_labelblind,9734,4173,13907,0.72616,0.86119,0.00612,0.9114,0.08103,0.81503,0.0087,0.89005,0.23247,0.6
42,any,nftonv2,rf,0.0001,retrain_stratified,150,63,213,0.87197,0.93598,0.09489,0.97477,0.85667,0.88116,0.01327,0.82837,0.15669,0.4
42,any,nftonv2,rf,0.0001,retrain_labelblind,147,63,210,0.82459,0.91227,0.13432,0.9652,0.73667,0.91681,0.04699,0.7809,0.2581,0.4
42,any,nftonv2,rf,0.001,retrain_stratified,1470,630,2100,0.925,0.96238,0.06996,0.99153,0.93667,0.88315,0.0112,0.87445,0.0,1.0
42,any,nftonv2,rf,0.001,retrain_labelblind,1470,630,2100,0.92264,0.96115,0.07481,0.99179,1.0,0.70121,0.00352,0.91445,0.0,0.6
42,any,nftonv2,rf,0.01,retrain_stratified,14700,6300,21000,0.96377,0.98181,0.03863,0.99634,0.95,0.93928,0.00779,0.9569,0.0,3.5
42,any,nftonv2,rf,0.01,retrain_labelblind,14700,6300,21000,0.96363,0.98175,0.0381,0.99706,0.86333,0.96388,0.00943,0.96601,0.0,4.7
42,any,nftonv2,lgbm,0.0001,retrain_stratified,150,63,213,0.86586,0.93287,0.08629,0.96985,0.99928,0.85544,0.02148,0.57155,0.13958,0.0
42,any,nftonv2,lgbm,0.0001,retrain_labelblind,147,63,210,0.79074,0.89519,0.17067,0.94079,0.99999,0.64089,0.03233,0.31415,0.04621,0.0
42,any,nftonv2,lgbm,0.001,retrain_stratified,1470,630,2100,0.91713,0.95824,0.08609,0.98868,0.99999,0.83376,0.01429,0.76671,0.14134,1.8
42,any,nftonv2,lgbm,0.001,retrain_labelblind,1470,630,2100,0.91069,0.95509,0.08786,0.9886,1.0,0.77723,0.00921,0.79234,0.14822,0.2
42,any,nftonv2,lgbm,0.01,retrain_stratified,14700,6300,21000,0.96574,0.98281,0.03586,0.99692,0.99844,0.91266,0.00754,0.94091,0.5873,0.7
42,any,nftonv2,lgbm,0.01,retrain_labelblind,14700,6300,21000,0.96474,0.98234,0.03365,0.99703,0.99144,0.94912,0.00905,0.9544,0.5685,1.9
42,any,nftonv2,mlp,0.0001,retrain_stratified,150,63,213,0.69999,0.84722,0.29054,0.84923,0.99719,0.5241,0.10438,0.0,0.0,0.3
42,any,nftonv2,mlp,0.0001,retrain_labelblind,147,63,210,0.67779,0.8387,0.25317,0.82454,1.0,0.0321,0.0167,0.0,0.0,0.3
42,any,nftonv2,mlp,0.001,retrain_stratified,1470,630,2100,0.69653,0.84813,0.20415,0.91233,0.94231,0.48292,0.02973,0.1901,0.00743,0.6
42,any,nftonv2,mlp,0.001,retrain_labelblind,1470,630,2100,0.68183,0.84059,0.25576,0.87833,1.0,0.00032,0.00544,0.08121,0.0,0.3
42,any,nftonv2,mlp,0.01,retrain_stratified,14700,6300,21000,0.92054,0.96009,0.07666,0.9859,0.96971,0.74817,0.01188,0.66305,0.19394,2.6
42,any,nftonv2,mlp,0.01,retrain_labelblind,14700,6300,21000,0.9245,0.96202,0.07673,0.98747,0.98494,0.67048,0.0064,0.76702,0.15207,3.6
42,any,nfbotv2,rf,0.0001,retrain_stratified,148,63,211,0.19301,0.53885,0.95828,0.7312,,,,0.0,0.0,0.4
42,any,nfbotv2,rf,0.0001,retrain_labelblind,147,63,210,0.09543,0.51069,0.98808,0.60601,,,,0.0,0.0,0.4
42,any,nfbotv2,rf,0.001,retrain_stratified,1470,631,2101,0.81257,0.9035,0.27652,0.91751,0.62,0.99957,0.19666,0.97401,0.97401,0.5
42,any,nfbotv2,rf,0.001,retrain_labelblind,1470,630,2100,0.68687,0.83127,0.47437,0.90259,0.96667,0.99272,0.08462,0.98042,0.0,0.5
42,any,nfbotv2,rf,0.01,retrain_stratified,14700,6300,21000,0.89037,0.94422,0.16567,0.98008,0.95,0.99856,0.02503,0.99379,0.99379,1.4
42,any,nfbotv2,rf,0.01,retrain_labelblind,14700,6300,21000,0.92004,0.95998,0.09178,0.96474,0.96,0.99795,0.00119,0.99812,0.99793,1.6
42,any,nfbotv2,lgbm,0.0001,retrain_stratified,148,63,211,0.40546,0.69934,0.51013,0.59116,,,,0.08764,0.0,0.0
42,any,nfbotv2,lgbm,0.0001,retrain_labelblind,147,63,210,0.06528,0.52553,0.96663,0.5203,,,,0.43201,0.29516,0.0
42,any,nfbotv2,lgbm,0.001,retrain_stratified,1470,631,2101,0.69516,0.84753,0.29201,0.78891,0.99997,0.9962,0.17759,0.47946,0.20321,0.0
42,any,nfbotv2,lgbm,0.001,retrain_labelblind,1470,630,2100,0.51261,0.73181,0.67342,0.86046,1.0,0.94671,0.13826,0.02402,0.02402,0.1
42,any,nfbotv2,lgbm,0.01,retrain_stratified,14700,6300,21000,0.12711,0.56002,0.90703,0.50895,1.0,0.0,0.0,0.0,0.0,0.4
42,any,nfbotv2,lgbm,0.01,retrain_labelblind,14700,6300,21000,0.88097,0.94043,0.1323,0.95169,1.0,0.99582,0.00954,0.99605,0.01269,0.3
42,any,nfbotv2,mlp,0.0001,retrain_stratified,148,63,211,0.03445,0.50014,0.99881,0.50114,,,,0.0,0.0,0.1
42,any,nfbotv2,mlp,0.0001,retrain_labelblind,147,63,210,0.05178,0.50923,0.98927,0.5042,,,,0.0,0.0,0.1
42,any,nfbotv2,mlp,0.001,retrain_stratified,1470,631,2101,0.54215,0.74191,0.66508,0.74634,1.0,0.13259,0.18474,0.0,0.0,0.7
42,any,nfbotv2,mlp,0.001,retrain_labelblind,1470,630,2100,0.48571,0.70087,0.74136,0.66572,1.0,0.00216,0.25268,0.0,0.0,0.4
42,any,nfbotv2,mlp,0.01,retrain_stratified,14700,6300,21000,0.46445,0.69018,0.75685,0.77476,1.0,0.0,0.0,0.0,0.0,1.7
42,any,nfbotv2,mlp,0.01,retrain_labelblind,14700,6300,21000,0.62965,0.80492,0.51013,0.78054,1.0,0.0,0.0,0.0,0.0,0.8
42,nf2018v2,nfunswv2,rf,0.0001,calibrate_split,101,43,144,0.0,0.49037,0.0,0.53427,0.07549,0.0,0.00636,0.0,0.0,
42,nf2018v2,nfunswv2,rf,0.0001,calibrate_rethreshold,101,43,144,0.21133,0.58976,0.08025,0.53427,0.07353,0.0,0.00636,0.0,0.0,
42,nf2018v2,nfunswv2,rf,0.0001,rethreshold_split,101,43,144,0.21133,0.58976,0.08025,0.53427,0.93667,0.0,0.00636,0.0,0.0,
42,nf2018v2,nfunswv2,rf,0.001,calibrate_split,975,417,1392,0.0,0.49037,0.0,0.53427,0.06231,0.0,0.00444,0.0,0.0,
42,nf2018v2,nfunswv2,rf,0.001,calibrate_rethreshold,975,417,1392,0.17737,0.5786,0.07089,0.53427,0.05458,0.0,0.00444,0.0,0.0,
42,nf2018v2,nfunswv2,rf,0.001,rethreshold_split,975,417,1392,0.17737,0.5786,0.07089,0.53427,0.95,0.0,0.00444,0.0,0.0,
42,nf2018v2,nfunswv2,rf,0.01,calibrate_split,9734,4173,13907,0.0,0.49037,0.0,0.53427,0.10858,0.0,0.00444,0.0,0.0,
42,nf2018v2,nfunswv2,rf,0.01,calibrate_rethreshold,9734,4173,13907,0.21133,0.58976,0.08025,0.53427,0.07231,0.0,0.00444,0.0,0.0,
42,nf2018v2,nfunswv2,rf,0.01,rethreshold_split,9734,4173,13907,0.21133,0.58976,0.08025,0.53427,0.93667,0.0,0.00444,0.0,0.0,
42,nf2018v2,nftonv2,rf,0.0001,calibrate_split,150,63,213,0.0,0.42062,1.0,0.50025,0.72688,0.0,0.0,0.0,0.0,
42,nf2018v2,nftonv2,rf,0.0001,calibrate_rethreshold,150,63,213,0.26623,0.55848,0.84008,0.50025,0.72605,0.0,0.0,0.0,0.0,
42,nf2018v2,nftonv2,rf,0.0001,rethreshold_split,150,63,213,0.26623,0.55848,0.84008,0.50025,0.23,0.0,0.0,0.0,0.0,
42,nf2018v2,nftonv2,rf,0.001,calibrate_split,1470,630,2100,0.0,0.42062,1.0,0.50025,0.73307,0.0,0.0,0.0,0.0,
42,nf2018v2,nftonv2,rf,0.001,calibrate_rethreshold,1470,630,2100,0.32232,0.55572,0.85575,0.50025,0.69762,0.0,0.0,0.0,0.0,
42,nf2018v2,nftonv2,rf,0.001,rethreshold_split,1470,630,2100,0.32232,0.55572,0.85575,0.50025,0.03333,0.0,0.0,0.0,0.0,
42,nf2018v2,nftonv2,rf,0.01,calibrate_split,14700,6300,21000,0.0,0.42062,1.0,0.50025,0.73471,0.0,0.0,0.0,0.0,
42,nf2018v2,nftonv2,rf,0.01,calibrate_rethreshold,14700,6300,21000,0.32189,0.55437,0.8576,0.50025,0.69117,0.0,0.0,0.0,0.0,
42,nf2018v2,nftonv2,rf,0.01,rethreshold_split,14700,6300,21000,0.32189,0.55437,0.8576,0.50025,0.02,0.0,0.0,0.0,0.0,
42,nf2018v2,nfbotv2,rf,0.0001,calibrate_split,148,63,211,0.0,0.49895,1.0,0.51414,,,,0.0472,0.0471,
42,nf2018v2,nfbotv2,rf,0.001,calibrate_split,1470,631,2101,0.0,0.49895,1.0,0.50344,0.99601,0.13226,0.1323,0.0,0.0,
42,nf2018v2,nfbotv2,rf,0.001,calibrate_rethreshold,1470,631,2101,-0.00137,0.46191,0.85578,0.51414,0.004,0.19353,0.55066,0.0472,0.0471,
42,nf2018v2,nfbotv2,rf,0.001,rethreshold_split,1470,631,2101,-0.00137,0.46191,0.85578,0.51414,0.15,0.19353,0.55066,0.0472,0.0471,
42,nf2018v2,nfbotv2,rf,0.01,calibrate_split,14700,6300,21000,0.0,0.49895,1.0,0.50344,0.99664,0.00295,0.10369,0.0,0.0,
42,nf2018v2,nfbotv2,rf,0.01,calibrate_rethreshold,14700,6300,21000,0.12189,0.56062,0.88677,0.51414,0.0034,0.04719,0.00119,0.0472,0.0471,
42,nf2018v2,nfbotv2,rf,0.01,rethreshold_split,14700,6300,21000,0.12189,0.56062,0.88677,0.51414,0.08667,0.04719,0.00119,0.0472,0.0471,
42,nf2018v2,nfunswv2,lgbm,0.0001,calibrate_split,101,43,144,0.0,0.49037,0.0,0.55947,0.06941,0.1159,0.00404,0.12278,0.08044,
42,nf2018v2,nfunswv2,lgbm,0.0001,calibrate_rethreshold,101,43,144,0.12186,0.54431,0.10031,0.55947,0.06941,0.1159,0.00404,0.12278,0.08044,
42,nf2018v2,nfunswv2,lgbm,0.0001,rethreshold_split,101,43,144,0.12186,0.54431,0.10031,0.55947,0.99985,0.1159,0.00404,0.12278,0.08044,
42,nf2018v2,nfunswv2,lgbm,0.001,calibrate_split,975,417,1392,0.0,0.49037,0.0,0.55947,0.03915,0.10757,0.0031,0.12278,0.08044,
42,nf2018v2,nfunswv2,lgbm,0.001,calibrate_rethreshold,975,417,1392,0.23809,0.58127,0.0031,0.55947,0.03915,0.10757,0.0031,0.12278,0.08044,
42,nf2018v2,nfunswv2,lgbm,0.001,rethreshold_split,975,417,1392,0.23809,0.58127,0.0031,0.55947,0.99995,0.10757,0.0031,0.12278,0.08044,
42,nf2018v2,nfunswv2,lgbm,0.01,calibrate_split,9734,4173,13907,0.0,0.49037,0.0,0.49717,0.06465,0.04737,0.00794,0.05081,0.0344,
42,nf2018v2,nfunswv2,lgbm,0.01,calibrate_rethreshold,9734,4173,13907,0.24003,0.57881,0.00261,0.55947,0.96425,0.12411,0.0102,0.12278,0.08044,
42,nf2018v2,nfunswv2,lgbm,0.01,rethreshold_split,9734,4173,13907,0.24003,0.57881,0.00261,0.55947,0.99996,0.12411,0.0102,0.12278,0.08044,
42,nf2018v2,nftonv2,lgbm,0.0001,calibrate_split,150,63,213,0.0,0.42062,1.0,0.68943,0.77176,0.0484,0.01971,0.04337,0.01057,
42,nf2018v2,nftonv2,lgbm,0.0001,calibrate_rethreshold,150,63,213,0.27727,0.54418,0.86522,0.68943,0.71505,0.0484,0.01971,0.04337,0.01057,
