source,target,model,budget,1,3,10,buffer_only
nf2018v2,nfbotv2,lgbm,0.001,0.633,0.7048,0.6856,0.7755
nf2018v2,nfbotv2,lgbm,0.01,0.8424,0.8666,0.8666,0.8773
nf2018v2,nfbotv2,mlp,0.001,0.2789,0.4741,0.4994,0.6501
nf2018v2,nfbotv2,mlp,0.01,0.7135,0.8437,0.8544,0.7544
nf2018v2,nfbotv2,rf,0.001,0.024,0.6752,0.7636,0.7255
nf2018v2,nfbotv2,rf,0.01,0.0278,0.8731,0.9037,0.8905
nf2018v2,nftonv2,lgbm,0.001,0.8855,0.6464,0.6464,0.9324
nf2018v2,nftonv2,lgbm,0.01,0.9164,0.8982,0.1198,0.9693
nf2018v2,nftonv2,mlp,0.001,0.194,0.4858,0.6048,0.908
nf2018v2,nftonv2,mlp,0.01,0.7122,0.7486,0.7674,0.9357
nf2018v2,nftonv2,rf,0.001,0.0587,0.7445,0.9341,0.9356
nf2018v2,nftonv2,rf,0.01,0.065,0.7866,0.9647,0.967
nf2018v2,nfunswv2,lgbm,0.001,0.2894,0.4628,0.4628,0.8783
nf2018v2,nfunswv2,lgbm,0.01,0.8163,0.3244,0.3244,0.9407
nf2018v2,nfunswv2,mlp,0.001,0.0104,0.3697,0.4697,0.8725
nf2018v2,nfunswv2,mlp,0.01,0.7562,0.8276,0.898,0.902
nf2018v2,nfunswv2,rf,0.001,0.1172,0.6999,0.8815,0.9017
nf2018v2,nfunswv2,rf,0.01,0.1301,0.817,0.934,0.9417
nfbotv2,nf2018v2,lgbm,0.001,-0.1975,-0.1975,-0.1975,0.9617
nfbotv2,nf2018v2,lgbm,0.01,-0.1975,-0.1975,-0.1975,0.9737
nfbotv2,nf2018v2,mlp,0.001,0.7318,0.8464,0.8689,0.9401
nfbotv2,nf2018v2,mlp,0.01,0.9294,0.9524,0.9582,0.9606
nfbotv2,nf2018v2,rf,0.001,0.8662,0.9571,0.9606,0.9617
nfbotv2,nf2018v2,rf,0.01,0.8752,0.9712,0.9733,0.9729
nfbotv2,nftonv2,lgbm,0.001,0.1436,0.1436,0.1436,0.9324
nfbotv2,nftonv2,lgbm,0.01,0.1436,0.1436,0.1436,0.9693
nfbotv2,nftonv2,mlp,0.001,0.4775,0.6274,0.691,0.908
nfbotv2,nftonv2,mlp,0.01,0.8514,0.9017,0.9132,0.9357
nfbotv2,nftonv2,rf,0.001,0.0411,0.874,0.9316,0.9356
nfbotv2,nftonv2,rf,0.01,0.0575,0.9324,0.9643,0.967
nfbotv2,nfunswv2,lgbm,0.001,-0.042,-0.042,-0.042,0.8783
nfbotv2,nfunswv2,lgbm,0.01,-0.042,-0.042,-0.042,0.9407
nfbotv2,nfunswv2,mlp,0.001,0.5039,0.5781,0.6119,0.8725
nfbotv2,nfunswv2,mlp,0.01,0.6602,0.7366,0.7234,0.902
nfbotv2,nfunswv2,rf,0.001,0.5002,0.8923,0.8972,0.9017
nfbotv2,nfunswv2,rf,0.01,0.5505,0.9308,0.9397,0.9417
nftonv2,nf2018v2,lgbm,0.001,0.9641,0.9641,0.9637,0.9617
nftonv2,nf2018v2,lgbm,0.01,0.9554,0.9561,0.9619,0.9737
nftonv2,nf2018v2,mlp,0.001,0.638,0.8902,0.9498,0.9401
nftonv2,nf2018v2,mlp,0.01,0.9399,0.9695,0.9697,0.9606
nftonv2,nf2018v2,rf,0.001,0.3302,0.9219,0.9609,0.9617
nftonv2,nf2018v2,rf,0.01,0.3421,0.933,0.973,0.9729
nftonv2,nfbotv2,lgbm,0.001,0.7393,0.7588,0.7594,0.7755
nftonv2,nfbotv2,lgbm,0.01,0.4244,0.6968,0.6968,0.8773
nftonv2,nfbotv2,mlp,0.001,0.3891,0.4079,0.4714,0.6501
nftonv2,nfbotv2,mlp,0.01,0.8556,0.8914,0.8874,0.7544
nftonv2,nfbotv2,rf,0.001,0.0359,0.7101,0.7564,0.7255
nftonv2,nfbotv2,rf,0.01,0.0374,0.921,0.9021,0.8905
nftonv2,nfunswv2,lgbm,0.001,0.8826,0.875,0.8752,0.8783
nftonv2,nfunswv2,lgbm,0.01,0.9264,0.9324,0.9339,0.9407
nftonv2,nfunswv2,mlp,0.001,0.3797,0.6667,0.7481,0.8725
nftonv2,nfunswv2,mlp,0.01,0.7774,0.8505,0.897,0.902
nftonv2,nfunswv2,rf,0.001,0.2094,0.8055,0.891,0.9017
nftonv2,nfunswv2,rf,0.01,0.2132,0.8964,0.9376,0.9417
nfunswv2,nf2018v2,lgbm,0.001,0.9481,0.9501,0.9508,0.9617
nfunswv2,nf2018v2,lgbm,0.01,0.9455,0.8444,0.902,0.9737
nfunswv2,nf2018v2,mlp,0.001,0.2139,0.7451,0.882,0.9401
nfunswv2,nf2018v2,mlp,0.01,0.8922,0.9459,0.9565,0.9606
nfunswv2,nf2018v2,rf,0.001,0.6056,0.9617,0.9623,0.9617
nfunswv2,nf2018v2,rf,0.01,0.6362,0.9718,0.9733,0.9729
nfunswv2,nfbotv2,lgbm,0.001,0.7089,0.7617,0.764,0.7755
nfunswv2,nfbotv2,lgbm,0.01,0.8532,0.8743,0.8792,0.8773
nfunswv2,nfbotv2,mlp,0.001,0.1073,0.6121,0.6368,0.6501
nfunswv2,nfbotv2,mlp,0.01,0.6533,0.8908,0.9044,0.7544
nfunswv2,nfbotv2,rf,0.001,0.111,0.8289,0.76,0.7255
nfunswv2,nfbotv2,rf,0.01,0.1228,0.9038,0.9033,0.8905
nfunswv2,nftonv2,lgbm,0.001,0.7922,0.7224,0.7224,0.9324
nfunswv2,nftonv2,lgbm,0.01,0.8674,0.8274,0.4416,0.9693
nfunswv2,nftonv2,mlp,0.001,0.1144,0.4445,0.5764,0.908
nfunswv2,nftonv2,mlp,0.01,0.6547,0.7677,0.8131,0.9357
nfunswv2,nftonv2,rf,0.001,0.2814,0.9011,0.9318,0.9356
nfunswv2,nftonv2,rf,0.01,0.2942,0.939,0.9672,0.967
