seed,source,target,model,budget,1,3,10,bo
42,nf2018v2,nfbotv2,lgbm,0.001,0.633,0.7048,0.6856,0.7755
42,nf2018v2,nfbotv2,lgbm,0.001,0.633,0.7048,0.6856,0.7755
42,nf2018v2,nfbotv2,lgbm,0.001,0.633,0.7048,0.6856,0.7755
42,nf2018v2,nfbotv2,lgbm,0.01,0.8424,0.8666,0.8666,0.8773
42,nf2018v2,nfbotv2,lgbm,0.01,0.8424,0.8666,0.8666,0.8773
42,nf2018v2,nfbotv2,lgbm,0.01,0.8424,0.8666,0.8666,0.8773
42,nf2018v2,nfbotv2,mlp,0.001,0.2789,0.4741,0.4994,0.6501
42,nf2018v2,nfbotv2,mlp,0.001,0.2789,0.4741,0.4994,0.6501
42,nf2018v2,nfbotv2,mlp,0.001,0.2789,0.4741,0.4994,0.6501
42,nf2018v2,nfbotv2,mlp,0.01,0.7135,0.8437,0.8544,0.7544
42,nf2018v2,nfbotv2,mlp,0.01,0.7135,0.8437,0.8544,0.7544
42,nf2018v2,nfbotv2,mlp,0.01,0.7135,0.8437,0.8544,0.7544
42,nf2018v2,nfbotv2,rf,0.001,0.024,0.6752,0.7636,0.7255
42,nf2018v2,nfbotv2,rf,0.001,0.024,0.6752,0.7636,0.7255
42,nf2018v2,nfbotv2,rf,0.001,0.024,0.6752,0.7636,0.7255
42,nf2018v2,nfbotv2,rf,0.01,0.0278,0.8731,0.9037,0.8905
42,nf2018v2,nfbotv2,rf,0.01,0.0278,0.8731,0.9037,0.8905
42,nf2018v2,nfbotv2,rf,0.01,0.0278,0.8731,0.9037,0.8905
42,nf2018v2,nftonv2,lgbm,0.001,0.8855,0.6464,0.6464,0.9324
42,nf2018v2,nftonv2,lgbm,0.001,0.8855,0.6464,0.6464,0.9324
42,nf2018v2,nftonv2,lgbm,0.001,0.8855,0.6464,0.6464,0.9324
42,nf2018v2,nftonv2,lgbm,0.01,0.9164,0.8982,0.1198,0.9693
42,nf2018v2,nftonv2,lgbm,0.01,0.9164,0.8982,0.1198,0.9693
42,nf2018v2,nftonv2,lgbm,0.01,0.9164,0.8982,0.1198,0.9693
42,nf2018v2,nftonv2,mlp,0.001,0.194,0.4858,0.6048,0.908
42,nf2018v2,nftonv2,mlp,0.001,0.194,0.4858,0.6048,0.908
42,nf2018v2,nftonv2,mlp,0.001,0.194,0.4858,0.6048,0.908
42,nf2018v2,nftonv2,mlp,0.01,0.7122,0.7486,0.7674,0.9357
42,nf2018v2,nftonv2,mlp,0.01,0.7122,0.7486,0.7674,0.9357
42,nf2018v2,nftonv2,mlp,0.01,0.7122,0.7486,0.7674,0.9357
42,nf2018v2,nftonv2,rf,0.001,0.0587,0.7445,0.9341,0.9356
42,nf2018v2,nftonv2,rf,0.001,0.0587,0.7445,0.9341,0.9356
42,nf2018v2,nftonv2,rf,0.001,0.0587,0.7445,0.9341,0.9356
42,nf2018v2,nftonv2,rf,0.01,0.065,0.7866,0.9647,0.967
42,nf2018v2,nftonv2,rf,0.01,0.065,0.7866,0.9647,0.967
42,nf2018v2,nftonv2,rf,0.01,0.065,0.7866,0.9647,0.967
42,nf2018v2,nfunswv2,lgbm,0.001,0.2894,0.4628,0.4628,0.8783
42,nf2018v2,nfunswv2,lgbm,0.001,0.2894,0.4628,0.4628,0.8783
42,nf2018v2,nfunswv2,lgbm,0.001,0.2894,0.4628,0.4628,0.8783
42,nf2018v2,nfunswv2,lgbm,0.01,0.8163,0.3244,0.3244,0.9407
42,nf2018v2,nfunswv2,lgbm,0.01,0.8163,0.3244,0.3244,0.9407
42,nf2018v2,nfunswv2,lgbm,0.01,0.8163,0.3244,0.3244,0.9407
42,nf2018v2,nfunswv2,mlp,0.001,0.0104,0.3697,0.4697,0.8725
42,nf2018v2,nfunswv2,mlp,0.001,0.0104,0.3697,0.4697,0.8725
42,nf2018v2,nfunswv2,mlp,0.001,0.0104,0.3697,0.4697,0.8725
42,nf2018v2,nfunswv2,mlp,0.01,0.7562,0.8276,0.898,0.902
42,nf2018v2,nfunswv2,mlp,0.01,0.7562,0.8276,0.898,0.902
42,nf2018v2,nfunswv2,mlp,0.01,0.7562,0.8276,0.898,0.902
42,nf2018v2,nfunswv2,rf,0.001,0.1172,0.6999,0.8815,0.9017
42,nf2018v2,nfunswv2,rf,0.001,0.1172,0.6999,0.8815,0.9017
42,nf2018v2,nfunswv2,rf,0.001,0.1172,0.6999,0.8815,0.9017
42,nf2018v2,nfunswv2,rf,0.01,0.1301,0.817,0.934,0.9417
42,nf2018v2,nfunswv2,rf,0.01,0.1301,0.817,0.934,0.9417
42,nf2018v2,nfunswv2,rf,0.01,0.1301,0.817,0.934,0.9417
42,nfbotv2,nf2018v2,lgbm,0.001,-0.1975,-0.1975,-0.1975,0.9617
42,nfbotv2,nf2018v2,lgbm,0.001,-0.1975,-0.1975,-0.1975,0.9617
42,nfbotv2,nf2018v2,lgbm,0.001,-0.1975,-0.1975,-0.1975,0.9617
42,nfbotv2,nf2018v2,lgbm,0.01,-0.1975,-0.1975,-0.1975,0.9737
42,nfbotv2,nf2018v2,lgbm,0.01,-0.1975,-0.1975,-0.1975,0.9737
42,nfbotv2,nf2018v2,lgbm,0.01,-0.1975,-0.1975,-0.1975,0.9737
42,nfbotv2,nf2018v2,mlp,0.001,0.7318,0.8464,0.8689,0.9401
42,nfbotv2,nf2018v2,mlp,0.001,0.7318,0.8464,0.8689,0.9401
42,nfbotv2,nf2018v2,mlp,0.001,0.7318,0.8464,0.8689,0.9401
42,nfbotv2,nf2018v2,mlp,0.01,0.9294,0.9524,0.9582,0.9606
42,nfbotv2,nf2018v2,mlp,0.01,0.9294,0.9524,0.9582,0.9606
42,nfbotv2,nf2018v2,mlp,0.01,0.9294,0.9524,0.9582,0.9606
42,nfbotv2,nf2018v2,rf,0.001,0.8662,0.9571,0.9606,0.9617
42,nfbotv2,nf2018v2,rf,0.001,0.8662,0.9571,0.9606,0.9617
42,nfbotv2,nf2018v2,rf,0.001,0.8662,0.9571,0.9606,0.9617
42,nfbotv2,nf2018v2,rf,0.01,0.8752,0.9712,0.9733,0.9729
42,nfbotv2,nf2018v2,rf,0.01,0.8752,0.9712,0.9733,0.9729
42,nfbotv2,nf2018v2,rf,0.01,0.8752,0.9712,0.9733,0.9729
42,nfbotv2,nftonv2,lgbm,0.001,0.1436,0.1436,0.1436,0.9324
42,nfbotv2,nftonv2,lgbm,0.001,0.1436,0.1436,0.1436,0.9324
42,nfbotv2,nftonv2,lgbm,0.001,0.1436,0.1436,0.1436,0.9324
42,nfbotv2,nftonv2,lgbm,0.01,0.1436,0.1436,0.1436,0.9693
42,nfbotv2,nftonv2,lgbm,0.01,0.1436,0.1436,0.1436,0.9693
42,nfbotv2,nftonv2,lgbm,0.01,0.1436,0.1436,0.1436,0.9693
42,nfbotv2,nftonv2,mlp,0.001,0.4775,0.6274,0.691,0.908
42,nfbotv2,nftonv2,mlp,0.001,0.4775,0.6274,0.691,0.908
42,nfbotv2,nftonv2,mlp,0.001,0.4775,0.6274,0.691,0.908
42,nfbotv2,nftonv2,mlp,0.01,0.8514,0.9017,0.9132,0.9357
42,nfbotv2,nftonv2,mlp,0.01,0.8514,0.9017,0.9132,0.9357
42,nfbotv2,nftonv2,mlp,0.01,0.8514,0.9017,0.9132,0.9357
42,nfbotv2,nftonv2,rf,0.001,0.0411,0.874,0.9316,0.9356
42,nfbotv2,nftonv2,rf,0.001,0.0411,0.874,0.9316,0.9356
42,nfbotv2,nftonv2,rf,0.001,0.0411,0.874,0.9316,0.9356
42,nfbotv2,nftonv2,rf,0.01,0.0575,0.9324,0.9643,0.967
42,nfbotv2,nftonv2,rf,0.01,0.0575,0.9324,0.9643,0.967
42,nfbotv2,nftonv2,rf,0.01,0.0575,0.9324,0.9643,0.967
42,nfbotv2,nfunswv2,lgbm,0.001,-0.042,-0.042,-0.042,0.8783
42,nfbotv2,nfunswv2,lgbm,0.001,-0.042,-0.042,-0.042,0.8783
42,nfbotv2,nfunswv2,lgbm,0.001,-0.042,-0.042,-0.042,0.8783
42,nfbotv2,nfunswv2,lgbm,0.01,-0.042,-0.042,-0.042,0.9407
42,nfbotv2,nfunswv2,lgbm,0.01,-0.042,-0.042,-0.042,0.9407
42,nfbotv2,nfunswv2,lgbm,0.01,-0.042,-0.042,-0.042,0.9407
42,nfbotv2,nfunswv2,mlp,0.001,0.5039,0.5781,0.6119,0.8725
42,nfbotv2,nfunswv2,mlp,0.001,0.5039,0.5781,0.6119,0.8725
42,nfbotv2,nfunswv2,mlp,0.001,0.5039,0.5781,0.6119,0.8725
42,nfbotv2,nfunswv2,mlp,0.01,0.6602,0.7366,0.7234,0.902
42,nfbotv2,nfunswv2,mlp,0.01,0.6602,0.7366,0.7234,0.902
42,nfbotv2,nfunswv2,mlp,0.01,0.6602,0.7366,0.7234,0.902
42,nfbotv2,nfunswv2,rf,0.001,0.5002,0.8923,0.8972,0.9017
42,nfbotv2,nfunswv2,rf,0.001,0.5002,0.8923,0.8972,0.9017
42,nfbotv2,nfunswv2,rf,0.001,0.5002,0.8923,0.8972,0.9017
42,nfbotv2,nfunswv2,rf,0.01,0.5505,0.9308,0.9397,0.9417
42,nfbotv2,nfunswv2,rf,0.01,0.5505,0.9308,0.9397,0.9417
42,nfbotv2,nfunswv2,rf,0.01,0.5505,0.9308,0.9397,0.9417
42,nftonv2,nf2018v2,lgbm,0.001,0.9641,0.9641,0.9637,0.9617
42,nftonv2,nf2018v2,lgbm,0.001,0.9641,0.9641,0.9637,0.9617
42,nftonv2,nf2018v2,lgbm,0.001,0.9641,0.9641,0.9637,0.9617
42,nftonv2,nf2018v2,lgbm,0.01,0.9554,0.9561,0.9619,0.9737
42,nftonv2,nf2018v2,lgbm,0.01,0.9554,0.9561,0.9619,0.9737
42,nftonv2,nf2018v2,lgbm,0.01,0.9554,0.9561,0.9619,0.9737
42,nftonv2,nf2018v2,mlp,0.001,0.638,0.8902,0.9498,0.9401
42,nftonv2,nf2018v2,mlp,0.001,0.638,0.8902,0.9498,0.9401
42,nftonv2,nf2018v2,mlp,0.001,0.638,0.8902,0.9498,0.9401
42,nftonv2,nf2018v2,mlp,0.01,0.9399,0.9695,0.9697,0.9606
42,nftonv2,nf2018v2,mlp,0.01,0.9399,0.9695,0.9697,0.9606
42,nftonv2,nf2018v2,mlp,0.01,0.9399,0.9695,0.9697,0.9606
42,nftonv2,nf2018v2,rf,0.001,0.3302,0.9219,0.9609,0.9617
42,nftonv2,nf2018v2,rf,0.001,0.3302,0.9219,0.9609,0.9617
42,nftonv2,nf2018v2,rf,0.001,0.3302,0.9219,0.9609,0.9617
42,nftonv2,nf2018v2,rf,0.01,0.3421,0.933,0.973,0.9729
42,nftonv2,nf2018v2,rf,0.01,0.3421,0.933,0.973,0.9729
42,nftonv2,nf2018v2,rf,0.01,0.3421,0.933,0.973,0.9729
42,nftonv2,nfbotv2,lgbm,0.001,0.7393,0.7588,0.7594,0.7755
