source,target,model,mcc_drop_flipped,mcc_drop_random,mcc_best_thr_drop_flipped,mcc_best_thr_drop_random,orient_drop_flipped,orient_drop_random,base_mcc,base_ceiling,base_orient
nf2018v2,nfbotv2,lgbm,0.0107,0.0149,0.3941,0.0714,1.0,-1.0,-0.0016,0.2516,1.0
nf2018v2,nfbotv2,mlp,0.0092,-0.0179,0.1712,0.2759,1.0,1.0,-0.053,0.4099,-1.0
nf2018v2,nfbotv2,rf,-0.057,-0.002,0.1929,0.208,-1.0,1.0,0.014,0.1771,1.0
nf2018v2,nftonv2,lgbm,-0.0116,0.0422,0.3136,0.4766,1.0,1.0,0.0592,0.4771,1.0
nf2018v2,nftonv2,mlp,-0.0045,0.0218,0.2459,0.2878,1.0,1.0,0.0162,0.214,1.0
nf2018v2,nftonv2,rf,-0.0854,-0.046,0.3238,0.3241,-1.0,-1.0,-0.1039,0.3231,-1.0
nf2018v2,nfunswv2,lgbm,0.1429,0.0853,0.1843,0.186,1.0,1.0,0.1398,0.2439,-1.0
nf2018v2,nfunswv2,mlp,-0.027,-0.0542,0.3098,0.3598,-1.0,-1.0,-0.0298,0.2086,-1.0
nf2018v2,nfunswv2,rf,0.0814,0.0451,0.1081,0.2542,-1.0,-1.0,0.0177,0.213,-1.0
nfbotv2,nf2018v2,lgbm,0.0073,-0.1212,0.0073,0.1212,1.0,-1.0,0.3124,0.3124,1.0
nfbotv2,nf2018v2,mlp,0.2342,0.0379,0.2925,0.2906,1.0,1.0,0.3409,0.5612,1.0
nfbotv2,nf2018v2,rf,0.4308,0.5583,0.5969,0.6968,1.0,1.0,0.6383,0.7594,1.0
nfbotv2,nftonv2,lgbm,-0.0357,-0.1534,0.0357,0.1534,-1.0,-1.0,-0.0083,0.0092,-1.0
nfbotv2,nftonv2,mlp,-0.0645,-0.1049,0.1565,0.2424,1.0,-1.0,-0.3481,0.3648,-1.0
nfbotv2,nftonv2,rf,-0.0732,-0.0661,0.283,0.5963,1.0,-1.0,-0.0816,0.6276,-1.0
nftonv2,nf2018v2,lgbm,0.0266,0.0386,0.4481,0.3153,-1.0,-1.0,0.0454,0.4122,-1.0
nftonv2,nf2018v2,mlp,0.0314,-0.0333,0.2704,0.2694,-1.0,-1.0,-0.0074,0.3995,1.0
nftonv2,nf2018v2,rf,0.1091,0.1085,0.3265,0.2049,1.0,1.0,0.1072,0.1964,1.0
nftonv2,nfbotv2,lgbm,-0.0747,-0.0294,0.1232,0.0753,-1.0,1.0,-0.0021,0.2764,1.0
nftonv2,nfbotv2,mlp,-0.0259,-0.334,0.2094,0.5439,1.0,-1.0,-0.1285,0.4695,-1.0
nftonv2,nfbotv2,rf,-0.0252,-0.0144,0.1436,0.2413,1.0,1.0,-0.0022,0.1446,1.0
nftonv2,nfunswv2,lgbm,0.0328,-0.0047,0.0903,0.1399,1.0,-1.0,-0.0634,0.2194,-1.0
nftonv2,nfunswv2,mlp,-0.0168,-0.1245,0.0931,0.1268,1.0,-1.0,-0.0445,0.0884,1.0
nftonv2,nfunswv2,rf,0.0269,0.0324,0.147,0.1005,-1.0,-1.0,0.0514,0.257,-1.0
nfunswv2,nf2018v2,lgbm,-0.1248,-0.1048,0.1476,0.585,-1.0,-1.0,-0.1039,0.564,-1.0
nfunswv2,nf2018v2,mlp,0.2047,-0.1919,0.4084,0.2813,1.0,-1.0,-0.0919,0.2811,-1.0
nfunswv2,nf2018v2,rf,0.1353,-0.1803,0.2627,0.2485,1.0,-1.0,-0.2515,0.2797,-1.0
nfunswv2,nftonv2,lgbm,0.0134,-0.1437,0.1508,0.292,1.0,-1.0,-0.1034,0.2499,-1.0
nfunswv2,nftonv2,mlp,0.048,0.0445,0.2666,0.199,1.0,1.0,0.0235,0.195,1.0
nfunswv2,nftonv2,rf,0.2325,-0.1048,0.2506,0.4538,1.0,1.0,-0.1048,0.5648,1.0
