source,target,n_flipped,agreement,flipped
nf2018v2,nfunswv2,8,0.459510639078897,PROTOCOL;TCP_FLAGS;CLIENT_TCP_FLAGS;SERVER_TCP_FLAGS;LONGEST_FLOW_PKT;SHORTEST_FLOW_PKT;MAX_IP_PKT_LEN;TCP_WIN_MAX_IN
nf2018v2,nftonv2,4,0.7572309426195363,PROTOCOL;MIN_IP_PKT_LEN;SRC_TO_DST_AVG_THROUGHPUT;DNS_QUERY_ID
nf2018v2,nfbotv2,9,0.42747429566470446,TCP_FLAGS;CLIENT_TCP_FLAGS;DURATION_OUT;LONGEST_FLOW_PKT;MAX_IP_PKT_LEN;RETRANSMITTED_IN_BYTES;NUM_PKTS_256_TO_512_BYTES;NUM_PKTS_512_TO_1024_BYTES
nfunswv2,nf2018v2,8,0.673883360339497,PROTOCOL;TCP_FLAGS;CLIENT_TCP_FLAGS;SERVER_TCP_FLAGS;LONGEST_FLOW_PKT;SHORTEST_FLOW_PKT;MAX_IP_PKT_LEN;TCP_WIN_MAX_IN
nfunswv2,nftonv2,7,0.6544547381213085,TCP_FLAGS;CLIENT_TCP_FLAGS;SERVER_TCP_FLAGS;LONGEST_FLOW_PKT;MIN_IP_PKT_LEN;MAX_IP_PKT_LEN;TCP_WIN_MAX_IN
nfunswv2,nfbotv2,0,0.9644553287914543,
nftonv2,nf2018v2,4,0.8309873453523797,PROTOCOL;MIN_IP_PKT_LEN;SRC_TO_DST_AVG_THROUGHPUT;DNS_QUERY_ID
nftonv2,nfunswv2,7,0.2736150143336944,TCP_FLAGS;CLIENT_TCP_FLAGS;SERVER_TCP_FLAGS;LONGEST_FLOW_PKT;MIN_IP_PKT_LEN;MAX_IP_PKT_LEN;TCP_WIN_MAX_IN
nftonv2,nfbotv2,8,0.33421633584190297,TCP_FLAGS;CLIENT_TCP_FLAGS;DURATION_OUT;LONGEST_FLOW_PKT;MIN_IP_PKT_LEN;MAX_IP_PKT_LEN;TCP_WIN_MAX_IN;DNS_QUERY_ID
nfbotv2,nf2018v2,9,0.3624812335280114,TCP_FLAGS;CLIENT_TCP_FLAGS;DURATION_OUT;LONGEST_FLOW_PKT;MAX_IP_PKT_LEN;RETRANSMITTED_IN_BYTES;NUM_PKTS_256_TO_512_BYTES;NUM_PKTS_512_TO_1024_BYTES
nfbotv2,nfunswv2,0,0.7564654094961796,
nfbotv2,nftonv2,8,0.2637791372203429,TCP_FLAGS;CLIENT_TCP_FLAGS;DURATION_OUT;LONGEST_FLOW_PKT;MIN_IP_PKT_LEN;MAX_IP_PKT_LEN;TCP_WIN_MAX_IN;DNS_QUERY_ID
