source,target,inverted,ceiling,n_flipped,agreement,flipped
nf2018v2,nfbotv2,0.2222,0.2638,9,0.4275,TCP_FLAGS;CLIENT_TCP_FLAGS;DURATION_OUT;LONGEST_FLOW_PKT;MAX_IP_PKT_LEN;RETRANSMITTED_IN_BYTES;NUM_PKTS_256_TO_512_BYTES;NUM_PKTS_512_TO_1024_BYTES
nf2018v2,nftonv2,0.3333,0.3236,4,0.7572,PROTOCOL;MIN_IP_PKT_LEN;SRC_TO_DST_AVG_THROUGHPUT;DNS_QUERY_ID
nf2018v2,nfunswv2,0.7778,0.2022,8,0.4595,PROTOCOL;TCP_FLAGS;CLIENT_TCP_FLAGS;SERVER_TCP_FLAGS;LONGEST_FLOW_PKT;SHORTEST_FLOW_PKT;MAX_IP_PKT_LEN;TCP_WIN_MAX_IN
nfbotv2,nf2018v2,0.0,0.4458,9,0.3625,TCP_FLAGS;CLIENT_TCP_FLAGS;DURATION_OUT;LONGEST_FLOW_PKT;MAX_IP_PKT_LEN;RETRANSMITTED_IN_BYTES;NUM_PKTS_256_TO_512_BYTES;NUM_PKTS_512_TO_1024_BYTES
nfbotv2,nftonv2,0.7778,0.3179,8,0.2638,TCP_FLAGS;CLIENT_TCP_FLAGS;DURATION_OUT;LONGEST_FLOW_PKT;MIN_IP_PKT_LEN;MAX_IP_PKT_LEN;TCP_WIN_MAX_IN;DNS_QUERY_ID
nfbotv2,nfunswv2,0.6667,0.1058,0,0.7565,
nftonv2,nf2018v2,0.4444,0.3306,4,0.831,PROTOCOL;MIN_IP_PKT_LEN;SRC_TO_DST_AVG_THROUGHPUT;DNS_QUERY_ID
nftonv2,nfbotv2,0.2222,0.1952,8,0.3342,TCP_FLAGS;CLIENT_TCP_FLAGS;DURATION_OUT;LONGEST_FLOW_PKT;MIN_IP_PKT_LEN;MAX_IP_PKT_LEN;TCP_WIN_MAX_IN;DNS_QUERY_ID
nftonv2,nfunswv2,0.6667,0.1526,7,0.2736,TCP_FLAGS;CLIENT_TCP_FLAGS;SERVER_TCP_FLAGS;LONGEST_FLOW_PKT;MIN_IP_PKT_LEN;MAX_IP_PKT_LEN;TCP_WIN_MAX_IN
nfunswv2,nf2018v2,0.8889,0.3382,8,0.6739,PROTOCOL;TCP_FLAGS;CLIENT_TCP_FLAGS;SERVER_TCP_FLAGS;LONGEST_FLOW_PKT;SHORTEST_FLOW_PKT;MAX_IP_PKT_LEN;TCP_WIN_MAX_IN
nfunswv2,nfbotv2,0.0,0.3208,0,0.9645,
nfunswv2,nftonv2,0.5556,0.2779,7,0.6545,TCP_FLAGS;CLIENT_TCP_FLAGS;SERVER_TCP_FLAGS;LONGEST_FLOW_PKT;MIN_IP_PKT_LEN;MAX_IP_PKT_LEN;TCP_WIN_MAX_IN
