macro_f1,weighted_f1,mcc,auprc_macro,fp_rate,brier,ece,mcc_best_thr,thr_best,seed,variant,fit_s,n_benign_train,n_trees
0.5177,0.9922,0.0355,0.5008,0.9631,0.0076,0.0076,0.0362,0.0,42,default,8,1048,175
0.4901,0.9671,0.0024,0.5,0.9392,0.0561,0.0561,0.0024,0.0,42,is_unbalance,9,1048,97
0.6969,0.9949,0.3939,0.5786,0.6055,0.005,0.005,0.398,0.0,42,min_child_5,7,1048,124
0.4707,0.8982,0.1172,0.5085,0.1228,0.1782,0.1782,0.1172,0.0,42,unbalance_child_5,9,1048,142
0.8271,0.9973,0.6646,0.7228,0.4422,0.0025,0.0025,0.6731,0.0,43,default,8,1048,158
0.1656,0.3196,0.0311,0.5009,0.0024,0.8055,0.8055,0.0311,1.0,43,is_unbalance,8,1048,62
0.78,0.9963,0.5601,0.6585,0.4267,0.0037,0.0037,0.5622,0.0,43,min_child_5,7,1048,126
0.3858,0.748,0.0776,0.5043,0.0131,0.3969,0.3969,0.0776,1.0,43,unbalance_child_5,9,1048,67
0.8077,0.9967,0.6156,0.6905,0.3671,0.0033,0.0033,0.6213,0.0,44,default,11,1048,166
0.4124,0.7976,0.0866,0.5051,0.0358,0.3307,0.3307,0.0866,0.0,44,is_unbalance,6,1048,125
0.7706,0.9963,0.5419,0.6478,0.4815,0.0037,0.0037,0.5514,0.0,44,min_child_5,10,1048,163
0.335,0.6514,0.0606,0.5028,0.0179,0.5119,0.5119,0.0606,0.0,44,unbalance_child_5,7,1048,53
