source,model,target,strategy,mcc_mean,mcc_std,mcc_best_thr_mean,mcc_best_thr_std,macro_f1_mean,macro_f1_std,auprc_macro_mean,auprc_macro_std,fp_rate_mean,fp_rate_std,ece_mean,ece_std
nf2018v2,lgbm,nf2018v2,in_domain,0.9768,0.0003,0.977,0.0002,0.9883,0.0002,0.9877,0.0002,0.0001,0.0,0.0015,0.0
nf2018v2,lgbm,nfbotv2,zero_shot,0.0015,0.0083,0.3069,0.0494,0.1203,0.0515,0.5517,0.0175,0.1319,0.0954,0.6329,0.0573
nf2018v2,lgbm,nftonv2,zero_shot,0.0342,0.0357,0.3669,0.0955,0.3707,0.0268,0.6124,0.067,0.1728,0.0019,0.5847,0.0384
nf2018v2,lgbm,nfunswv2,zero_shot,0.1344,0.0231,0.1381,0.0214,0.5196,0.0053,0.513,0.0145,0.0007,0.0002,0.0371,0.0019
nf2018v2,mlp,nf2018v2,in_domain,0.9713,0.0015,0.9715,0.0017,0.9855,0.0008,0.9848,0.0004,0.0003,0.0,0.0011,0.0004
nf2018v2,mlp,nfbotv2,zero_shot,-0.0179,0.0304,0.2291,0.0367,0.2186,0.0641,0.5276,0.0056,0.389,0.1265,0.6307,0.0925
nf2018v2,mlp,nftonv2,zero_shot,0.0103,0.0783,0.2248,0.017,0.3933,0.0559,0.5557,0.0177,0.2455,0.002,0.5244,0.0684
nf2018v2,mlp,nfunswv2,zero_shot,-0.0408,0.0141,0.0603,0.0309,0.4759,0.0129,0.4854,0.0044,0.0813,0.0524,0.07,0.0231
nf2018v2,rf,nf2018v2,in_domain,0.9771,0.0002,0.9772,0.0001,0.9884,0.0001,0.9848,0.0004,0.0001,0.0,0.0052,0.0001
nf2018v2,rf,nfbotv2,zero_shot,0.0095,0.008,0.1684,0.0326,0.0498,0.0005,0.5139,0.0044,0.0163,0.0261,0.7451,0.0075
nf2018v2,rf,nftonv2,zero_shot,-0.1249,0.0459,0.3286,0.121,0.2672,0.0222,0.5873,0.0391,0.1666,0.0007,0.5825,0.0172
nf2018v2,rf,nfunswv2,zero_shot,0.0051,0.0114,0.0375,0.0028,0.4914,0.0014,0.4812,0.0023,0.0007,0.0007,0.1644,0.0143
nfbotv2,lgbm,nf2018v2,zero_shot,0.2194,0.1775,0.2194,0.1775,0.3896,0.2441,0.5517,0.0447,0.635,0.3153,0.5637,0.2745
nfbotv2,lgbm,nfbotv2,in_domain,0.4386,0.35,0.4435,0.3537,0.7175,0.1733,0.638,0.12,0.5908,0.3246,0.0045,0.0028
nfbotv2,lgbm,nftonv2,zero_shot,0.0842,0.1546,0.1001,0.137,0.4938,0.0731,0.5218,0.0439,0.646,0.3832,0.3748,0.0882
nfbotv2,lgbm,nfunswv2,zero_shot,-0.1411,0.1019,0.0,0.0,0.1155,0.0684,0.4954,0.0041,0.9007,0.0826,0.8765,0.0745
nfbotv2,mlp,nf2018v2,zero_shot,0.3204,0.0185,0.4464,0.1007,0.5667,0.0489,0.6467,0.056,0.3711,0.1011,0.3113,0.1019
nfbotv2,mlp,nfbotv2,in_domain,0.937,0.0129,0.9419,0.0117,0.9685,0.0065,0.9736,0.0043,0.0616,0.0139,0.0003,0.0
nfbotv2,mlp,nftonv2,zero_shot,-0.1718,0.165,0.1441,0.0339,0.3737,0.1032,0.4699,0.0303,0.5445,0.0212,0.5056,0.0871
nfbotv2,mlp,nfunswv2,zero_shot,-0.0096,0.095,0.0887,0.0608,0.371,0.1031,0.5056,0.0158,0.4622,0.2356,0.4425,0.2142
nfbotv2,rf,nf2018v2,zero_shot,0.4373,0.1765,0.6884,0.0626,0.6322,0.1508,0.762,0.0243,0.3202,0.1925,0.1898,0.0534
nfbotv2,rf,nfbotv2,in_domain,0.9732,0.0033,0.975,0.0029,0.9866,0.0016,0.9949,0.0014,0.0163,0.0056,0.0001,0.0
nfbotv2,rf,nftonv2,zero_shot,-0.0874,0.0065,0.0591,0.0473,0.4532,0.0035,0.4053,0.003,0.8554,0.0076,0.3844,0.0155
nfbotv2,rf,nfunswv2,zero_shot,-0.0638,0.0454,0.0825,0.0587,0.1377,0.0163,0.4953,0.0147,0.8798,0.0251,0.5064,0.0442
nftonv2,lgbm,nf2018v2,zero_shot,0.0262,0.0217,0.2301,0.1385,0.5005,0.0144,0.5048,0.0475,0.2319,0.026,0.2112,0.0167
nftonv2,lgbm,nfbotv2,zero_shot,-0.0111,0.0094,0.1433,0.1191,0.0207,0.0139,0.5225,0.0328,0.0334,0.0066,0.9497,0.0274
nftonv2,lgbm,nftonv2,in_domain,0.9826,0.0008,0.9828,0.0008,0.9913,0.0004,0.9989,0.0,0.0172,0.0008,0.0028,0.0004
