seed,target,model,budget,design,rule,n_labels,n_fit,n_threshold,n_benign_fit,n_benign_threshold,fp_observed_threshold,fp_bound_threshold,benign_rate_pool,benign_rate_threshold,mcc_at_threshold,tpr_dep,fpr_dep,tpr_oracle,thr,fit_s,benign_expected,benign_ratio
42,nf2018v2,rf,0.0001,split,diversity,210,146,64,129,56,0.0,0.05209,0.881606,0.875,0.941152,0.917986,0.002688,0.939651,0.553333,0.5,56.422758,0.992507
42,nf2018v2,rf,0.0001,split,uniform,210,147,63,127,55,0.0,0.053011,0.881606,0.873016,0.901086,0.831327,0.000113,0.902276,0.813333,0.4,55.541152,0.990257
42,nf2018v2,rf,0.0001,reserved,diversity,210,147,63,133,52,0.0,0.055982,0.881606,0.825397,0.924284,0.908231,0.005297,0.911905,0.37,0.4,55.541152,0.936243
42,nf2018v2,rf,0.0001,reserved,uniform,210,147,63,120,52,0.0,0.055982,0.881606,0.825397,0.897408,0.824781,5.7e-05,0.899911,0.866667,0.4,55.541152,0.936243
42,nf2018v2,rf,0.001,split,diversity,2100,1470,630,1319,565,2.0,0.011101,0.881606,0.896825,0.967963,0.952109,0.001083,0.957051,0.463333,0.6,555.411523,1.017264
42,nf2018v2,rf,0.001,split,uniform,2100,1470,630,1299,556,4.0,0.016387,0.881606,0.88254,0.934045,0.937793,0.007208,0.9402,0.346667,0.6,555.411523,1.00106
42,nf2018v2,rf,0.001,reserved,diversity,2100,1470,630,1310,558,1.0,0.008473,0.881606,0.885714,0.963847,0.938933,0.000272,0.952532,0.623333,0.6,555.411523,1.00466
42,nf2018v2,rf,0.001,reserved,uniform,2100,1470,630,1316,558,1.0,0.008473,0.881606,0.885714,0.96027,0.933359,0.000352,0.956713,0.64,0.5,555.411523,1.00466
42,nf2018v2,lgbm,0.0001,split,diversity,210,146,64,129,56,0.0,0.05209,0.881606,0.875,0.925115,0.873052,0.000306,0.939187,0.997241,0.1,56.422758,0.992507
42,nf2018v2,lgbm,0.0001,split,uniform,210,147,63,127,55,0.0,0.053011,0.881606,0.873016,0.922954,0.868407,0.000176,0.89062,0.999514,0.0,55.541152,0.990257
42,nf2018v2,lgbm,0.0001,reserved,diversity,210,147,63,133,52,0.0,0.055982,0.881606,0.825397,0.873171,0.794501,0.001287,0.918366,0.939096,0.0,55.541152,0.936243
42,nf2018v2,lgbm,0.0001,reserved,uniform,210,147,63,120,52,0.0,0.055982,0.881606,0.825397,0.905801,0.840534,0.000289,0.903121,0.999728,0.0,55.541152,0.936243
42,nf2018v2,lgbm,0.001,split,diversity,2100,1470,630,1319,565,1.0,0.008368,0.881606,0.896825,0.967934,0.944719,0.000102,0.956248,0.999525,0.2,555.411523,1.017264
42,nf2018v2,lgbm,0.001,split,uniform,2100,1470,630,1299,556,5.0,0.018815,0.881606,0.88254,0.932305,0.939398,0.007878,0.939609,0.01683,0.2,555.411523,1.00106
42,nf2018v2,lgbm,0.001,reserved,diversity,2100,1470,630,1310,558,1.0,0.008473,0.881606,0.885714,0.959782,0.932261,0.000318,0.945817,0.995524,1.3,555.411523,1.00466
42,nf2018v2,lgbm,0.001,reserved,uniform,2100,1470,630,1316,558,0.0,0.005354,0.881606,0.885714,0.950009,0.914608,0.000204,0.9489,0.999487,0.2,555.411523,1.00466
42,nf2018v2,mlp,0.0001,split,diversity,210,146,64,129,56,0.0,0.05209,0.881606,0.875,0.919072,0.871067,0.001384,0.916466,0.94641,0.2,56.422758,0.992507
42,nf2018v2,mlp,0.0001,split,uniform,210,147,63,127,55,0.0,0.053011,0.881606,0.873016,0.917635,0.880612,0.002995,0.902403,0.859294,0.2,55.541152,0.990257
