source,target,model,budget,strategy,mcc_mean,mcc_std,macro_f1_mean,macro_f1_std,ece_mean,ece_std,auprc_macro_mean,auprc_macro_std,fp_rate_mean,fp_rate_std
nf2018,nfunsw,lgbm,0.0,zero_shot,-0.0437,0.0672,0.4504,0.0631,0.2302,0.1571,0.5037,0.0072,0.2096,0.1621
nf2018,nfunsw,lgbm,0.01,augment,0.8788,0.0208,0.9392,0.0107,0.004,0.0019,0.8976,0.0322,0.0058,0.0022
nf2018,nfunsw,lgbm,0.01,buffer_only,0.9374,0.0026,0.9685,0.0015,0.004,0.0003,0.9847,0.0006,0.0036,0.0006
nf2018,nfunsw,lgbm,0.01,calibrate,0.0,0.0,0.4904,0.0,0.0004,0.0005,0.5063,0.0015,0.0,0.0
nf2018,nfunsw,lgbm,0.05,augment,0.9337,0.0075,0.9667,0.0038,0.001,0.0006,0.969,0.0093,0.0034,0.0003
nf2018,nfunsw,lgbm,0.05,buffer_only,0.9452,0.0021,0.9725,0.0011,0.0027,0.0002,0.989,0.0,0.0029,0.0001
nf2018,nfunsw,lgbm,0.05,calibrate,0.0,0.0,0.4904,0.0,0.0001,0.0,0.5063,0.0015,0.0,0.0
nf2018,nfunsw,lgbm,0.1,augment,0.9457,0.0001,0.9727,0.0001,0.0008,0.0001,0.9835,0.0006,0.0029,0.0
nf2018,nfunsw,lgbm,0.1,buffer_only,0.9504,0.0004,0.9751,0.0002,0.0017,0.0,0.9916,0.0002,0.0025,0.0001
nf2018,nfunsw,lgbm,0.1,calibrate,0.0,0.0,0.4904,0.0,0.0001,0.0,0.5063,0.0015,0.0,0.0
nf2018,nfunsw,mlp,0.0,zero_shot,-0.0292,0.0054,0.4853,0.0026,0.0447,0.004,0.48,0.0113,0.0326,0.0036
nf2018,nfunsw,mlp,0.01,augment,0.8626,0.0027,0.9312,0.0015,0.0027,0.0013,0.9405,0.0127,0.0045,0.0008
nf2018,nfunsw,mlp,0.01,buffer_only,0.8629,0.0004,0.9314,0.0002,0.0023,0.0006,0.9398,0.0056,0.0056,0.0002
nf2018,nfunsw,mlp,0.01,calibrate,0.0,0.0,0.4904,0.0,0.003,0.0029,0.538,0.0243,0.0,0.0
nf2018,nfunsw,mlp,0.05,augment,0.9132,0.0063,0.9566,0.0031,0.0009,0.0001,0.971,0.0042,0.0038,0.0005
nf2018,nfunsw,mlp,0.05,buffer_only,0.9225,0.0047,0.9608,0.0024,0.0016,0.0014,0.9694,0.0071,0.0049,0.0003
nf2018,nfunsw,mlp,0.05,calibrate,0.0,0.0,0.4904,0.0,0.0043,0.0018,0.5379,0.0244,0.0,0.0
nf2018,nfunsw,mlp,0.1,augment,0.9256,0.0051,0.9626,0.0026,0.0007,0.0,0.9774,0.0005,0.004,0.0005
nf2018,nfunsw,mlp,0.1,buffer_only,0.9341,0.0,0.9667,0.0,0.0005,0.0001,0.9798,0.001,0.0041,0.0001
nf2018,nfunsw,mlp,0.1,calibrate,0.0,0.0,0.4904,0.0,0.0045,0.0017,0.538,0.0244,0.0,0.0
nf2018,nfunsw,rf,0.0,zero_shot,0.0153,0.0079,0.4907,0.0003,0.1301,0.0058,0.4894,0.0018,0.0,0.0
nf2018,nfunsw,rf,0.01,augment,0.933,0.0023,0.9664,0.0013,0.0015,0.0003,0.9857,0.0003,0.0034,0.0005
nf2018,nfunsw,rf,0.01,buffer_only,0.9369,0.0053,0.9681,0.0029,0.0007,0.0001,0.9869,0.0005,0.0039,0.0008
nf2018,nfunsw,rf,0.01,calibrate,0.0,0.0,0.4904,0.0,0.0101,0.0016,0.5428,0.0227,0.0,0.0
nf2018,nfunsw,rf,0.05,augment,0.9452,0.001,0.9725,0.0005,0.0006,0.0,0.9904,0.0001,0.0028,0.0
nf2018,nfunsw,rf,0.05,buffer_only,0.9466,0.0023,0.9732,0.0011,0.0006,0.0,0.9902,0.0003,0.0029,0.0001
nf2018,nfunsw,rf,0.05,calibrate,0.0,0.0,0.4904,0.0,0.0142,0.0052,0.5428,0.0227,0.0,0.0
nf2018,nfunsw,rf,0.1,augment,0.9504,0.0002,0.9752,0.0001,0.0006,0.0001,0.9916,0.0008,0.0025,0.0001
nf2018,nfunsw,rf,0.1,buffer_only,0.9513,0.0003,0.9756,0.0001,0.0006,0.0001,0.9914,0.001,0.0025,0.0
nf2018,nfunsw,rf,0.1,calibrate,0.0,0.0,0.4904,0.0,0.0099,0.0015,0.5428,0.0227,0.0,0.0
nfunsw,nf2018,lgbm,0.0,zero_shot,-0.0964,0.0069,0.4512,0.0031,0.1716,0.013,0.4195,0.0177,0.1013,0.0078
nfunsw,nf2018,lgbm,0.01,augment,0.9719,0.0,0.9858,0.0,0.0025,0.0002,0.9854,0.0002,0.0005,0.0001
