source,model,target,setting,macro_f1_mean,macro_f1_std,macro_f1_min,macro_f1_max,weighted_f1_mean,weighted_f1_std,weighted_f1_min,weighted_f1_max,mcc_mean,mcc_std,mcc_min,mcc_max,auprc_macro_mean,auprc_macro_std,auprc_macro_min,auprc_macro_max,fp_rate_mean,fp_rate_std,fp_rate_min,fp_rate_max,brier_mean,brier_std,brier_min,brier_max,ece_mean,ece_std,ece_min,ece_max
nf2018,lgbm,nf2018,in_domain,0.9879,0.0001,0.9877,0.988,0.995,0.0,0.9949,0.995,0.976,0.0002,0.9756,0.9762,0.9848,0.0005,0.9838,0.9852,0.0004,0.0,0.0004,0.0005,0.0049,0.0,0.0049,0.0049,0.0004,0.0001,0.0003,0.0006
nf2018,lgbm,nfunsw,zero_shot,0.4636,0.0355,0.4058,0.503,0.8592,0.0558,0.7609,0.8975,-0.0372,0.0431,-0.0912,0.0254,0.5057,0.006,0.4986,0.5131,0.163,0.0916,0.1021,0.3242,0.1883,0.087,0.1211,0.3403,0.1897,0.0867,0.1229,0.3413
nf2018,mlp,nf2018,in_domain,0.9872,0.0002,0.9871,0.9874,0.9947,0.0001,0.9946,0.9948,0.9747,0.0003,0.9744,0.9751,0.9863,0.0002,0.986,0.9865,0.0001,0.0,0.0001,0.0002,0.0051,0.0,0.0051,0.0052,0.0007,0.0003,0.0004,0.001
nf2018,mlp,nfunsw,zero_shot,0.4876,0.0077,0.4783,0.4986,0.9258,0.0066,0.9144,0.9311,-0.0243,0.0152,-0.0422,-0.0022,0.4847,0.009,0.472,0.4943,0.038,0.0126,0.0292,0.0599,0.0669,0.0082,0.0608,0.0812,0.0483,0.0048,0.0419,0.0553
nf2018,rf,nf2018,in_domain,0.9889,0.0001,0.9888,0.989,0.9954,0.0,0.9954,0.9954,0.978,0.0001,0.9779,0.9782,0.9854,0.0001,0.9853,0.9856,0.0001,0.0,0.0001,0.0001,0.0048,0.0,0.0048,0.0048,0.005,0.0,0.005,0.0051
nf2018,rf,nfunsw,zero_shot,0.4907,0.0002,0.4905,0.4909,0.9437,0.0,0.9437,0.9437,0.016,0.0049,0.0097,0.0208,0.4905,0.0058,0.4821,0.4971,0.0,0.0,0.0,0.0,0.0562,0.0021,0.0537,0.0593,0.1339,0.0122,0.1189,0.1502
nfunsw,lgbm,nf2018,zero_shot,0.4605,0.0129,0.449,0.475,0.7996,0.0241,0.7794,0.8274,-0.0516,0.063,-0.1013,0.0353,0.4281,0.0127,0.4071,0.4405,0.0633,0.053,0.0016,0.1068,0.1534,0.027,0.1208,0.183,0.1567,0.022,0.1298,0.1808
nfunsw,lgbm,nfunsw,in_domain,0.9801,0.0004,0.9798,0.9807,0.9971,0.0001,0.997,0.9972,0.9603,0.0007,0.9597,0.9615,0.9951,0.0002,0.9949,0.9955,0.0019,0.0001,0.0018,0.002,0.0022,0.0,0.0022,0.0022,0.0003,0.0,0.0002,0.0003
nfunsw,mlp,nf2018,zero_shot,0.4591,0.0371,0.4248,0.517,0.7485,0.0141,0.7336,0.766,-0.0745,0.0797,-0.1464,0.05,0.4703,0.0113,0.46,0.4852,0.1917,0.0187,0.1603,0.2096,0.2477,0.016,0.2256,0.2636,0.2464,0.0216,0.2189,0.265
nfunsw,mlp,nfunsw,in_domain,0.9724,0.0011,0.9707,0.9735,0.9959,0.0002,0.9957,0.9961,0.945,0.0019,0.9421,0.9472,0.991,0.0011,0.9894,0.9923,0.003,0.0005,0.0025,0.0038,0.003,0.0001,0.0029,0.0032,0.0006,0.0001,0.0004,0.0007
nfunsw,rf,nf2018,zero_shot,0.4131,0.0206,0.3763,0.4232,0.7205,0.0361,0.656,0.7384,-0.1666,0.0315,-0.2228,-0.1504,0.5015,0.0036,0.4966,0.5066,0.2179,0.0635,0.1858,0.3313,0.2008,0.0083,0.1916,0.2137,0.1529,0.0267,0.1123,0.1834
nfunsw,rf,nfunsw,in_domain,0.9818,0.0003,0.9814,0.9821,0.9973,0.0,0.9973,0.9974,0.9637,0.0006,0.9629,0.9642,0.9942,0.0002,0.9939,0.9945,0.0017,0.0,0.0017,0.0017,0.0021,0.0,0.0021,0.0021,0.0006,0.0001,0.0005,0.0006
