macro_f1,weighted_f1,mcc,auprc_macro,fp_rate,brier,ece,seed,source,model,target,setting
0.9888493684091013,0.9953821856048093,0.9779260631698198,0.9852800623709809,9.200362469074808e-05,0.004813857864197528,0.00509955925925967,42,nf2018,rf,nf2018,in_domain
0.49050443103794716,0.943689915309356,0.009675683744368968,0.4906239669496102,1.7436791630340016e-06,0.0553099057532359,0.1259610015704066,42,nf2018,rf,nfunsw,zero_shot
0.9878843458694138,0.9949818418805516,0.9759878405434541,0.9848699790001537,0.0003604525570075884,0.004874650688512256,0.0003435315656506242,42,nf2018,lgbm,nf2018,in_domain
0.40582734447399305,0.7608591480465758,-0.09122872932004611,0.4986457704958005,0.3242371403661726,0.3403315885938697,0.34126150654267845,42,nf2018,lgbm,nfunsw,zero_shot
0.9871019133615021,0.9946634663469741,0.9744861830318815,0.9862231375941375,0.0002079533982736087,0.00516964099530551,0.00037108956463031604,42,nf2018,mlp,nf2018,in_domain
0.4834544971102385,0.9266946731424766,-0.03303233468228208,0.4879933803086185,0.03515257192676548,0.06476364384382274,0.047540712011060623,42,nf2018,mlp,nfunsw,zero_shot
0.4225658409470092,0.7379644694975384,-0.1524378782505255,0.5004180396614296,0.186724507118938,0.19808008660493825,0.16367879629629634,42,nfunsw,rf,nf2018,zero_shot
0.9820604480434347,0.9973799659246145,0.9641586075608755,0.9943237114854442,0.0017035745422842197,0.0020830089056816507,0.0006352372835102978,42,nfunsw,rf,nfunsw,in_domain
0.44898060994788447,0.7794059190145803,-0.1012843997477991,0.4320335033511931,0.10683259247309525,0.18303888789174277,0.1808071769211798,42,nfunsw,lgbm,nf2018,zero_shot
0.9798681663011298,0.9970569463734281,0.9597934609968418,0.9949149643102884,0.001952920662598082,0.002242709509919404,0.00032713340720493363,42,nfunsw,lgbm,nfunsw,in_domain
0.9871019133615021,0.9946634663469741,0.9744861830318815,0.9862231375941375,0.0002079533982736087,0.005169640995306301,0.0003710895646322857,42,nf2018,mlp,nf2018,in_domain
0.4834544971102385,0.9266946731424766,-0.03303233468228208,0.4879933803086185,0.03515257192676548,0.06476364384396084,0.04754071201091287,42,nf2018,mlp,nfunsw,zero_shot
0.46839208692417733,0.7441704438985615,-0.05211831650107507,0.48520558320037394,0.20956787283838743,0.25128472614690606,0.25637669561333815,42,nfunsw,mlp,nf2018,zero_shot
0.9735323172093937,0.9961179888861664,0.9472162857484124,0.9912653969267582,0.0027201394943330427,0.002977269552521028,0.0005074470861605516,42,nfunsw,mlp,nfunsw,in_domain
0.4225658409470092,0.7379644694975384,-0.1524378782505255,0.5004180396614296,0.186724507118938,0.19808008660493825,0.16367879629629634,42,nfunsw,rf,nf2018,zero_shot
0.9820604480434347,0.9973799659246145,0.9641586075608755,0.9943237114854442,0.0017035745422842197,0.0020830089056816507,0.0006352372835102978,42,nfunsw,rf,nfunsw,in_domain
0.44898060994788447,0.7794059190145803,-0.1012843997477991,0.43203326242933365,0.10683259247309525,0.18303885849551896,0.18080720858204646,42,nfunsw,lgbm,nf2018,zero_shot
0.9798681663011298,0.9970569463734281,0.9597934609968418,0.9949149643102884,0.001952920662598082,0.002242709509921643,0.0003271334072001325,42,nfunsw,lgbm,nfunsw,in_domain
0.46839208692417733,0.7441704438985615,-0.05211831650107507,0.48520558320037394,0.20956787283838743,0.25128472614642827,0.25637669561302134,42,nfunsw,mlp,nf2018,zero_shot
0.9735323172093937,0.9961179888861664,0.9472162857484124,0.9912653969267582,0.0027201394943330427,0.0029772695525211246,0.0005074470861596396,42,nfunsw,mlp,nfunsw,in_domain
0.9888526754056719,0.9953834322416769,0.9779311695547347,0.9853634635483179,9.956556644615204e-05,0.004802427790123456,0.005046677777777967,43,nf2018,rf,nf2018,in_domain
0.49090703544004033,0.9437265157375114,0.020824868577831054,0.48814138139575075,3.4873583260680033e-06,0.055914980791228384,0.13417256128388566,43,nf2018,rf,nfunsw,zero_shot
0.9879695303591443,0.9950168488156883,0.9761551725940626,0.9850892425004346,0.0003579319097557871,0.004856655742746847,0.0003558783805153188,43,nf2018,lgbm,nf2018,in_domain
0.5030018804922183,0.897465313978127,0.025432240029088577,0.5130517867181608,0.10208892763731474,0.12106450003642577,0.12285731161566521,43,nf2018,lgbm,nfunsw,zero_shot
0.9870622790073076,0.9946485160118833,0.9744243106678063,0.9860194987325508,0.00013233398071956916,0.005185647679192466,0.0010489608754576428,43,nf2018,mlp,nf2018,in_domain
